ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,,100.0%,"Array, Dynamic Programming, Breadth-First Search",6_months
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,100.0%,"Hash Table, String, Sliding Window",6_months
1234,https://leetcode.com/problems/replace-the-substring-for-balanced-string,Replace the Substring for Balanced String,Medium,,100.0%,"String, Sliding Window",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,83.8%,"Array, Hash Table",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,78.6%,"Hash Table, String, Sliding Window",more_than_6m
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,,78.6%,"Array, Greedy",more_than_6m
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,71.9%,"Two Pointers, String, Dynamic Programming",more_than_6m
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,,71.9%,"Array, Stack, Simulation",more_than_6m
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,62.4%,"Math, Dynamic Programming, Memoization",more_than_6m
2422,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,Merge Operations to Turn Array Into a Palindrome,Medium,,62.4%,"Array, Two Pointers, Greedy",more_than_6m
80,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,Remove Duplicates from Sorted Array II,Medium,,62.4%,"Array, Two Pointers",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,62.4%,"Array, Dynamic Programming",more_than_6m
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,62.4%,"Array, Hash Table, String, Sorting",more_than_6m
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,,62.4%,"Linked List, Math, Recursion",more_than_6m
1654,https://leetcode.com/problems/minimum-jumps-to-reach-home,Minimum Jumps to Reach Home,Medium,,62.4%,"Array, Hash Table, Breadth-First Search",more_than_6m
321,https://leetcode.com/problems/create-maximum-number,Create Maximum Number,Hard,,62.4%,"Array, Two Pointers, Stack, Greedy, Monotonic Stack",more_than_6m
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,62.4%,"Array, Divide and Conquer, Dynamic Programming",more_than_6m
1234,https://leetcode.com/problems/replace-the-substring-for-balanced-string,Replace the Substring for Balanced String,Medium,,100.0%,"String, Sliding Window",all
2422,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,Merge Operations to Turn Array Into a Palindrome,Medium,,87.5%,"Array, Two Pointers, Greedy",all
3819,https://leetcode.com/problems/rotate-non-negative-elements,Rotate Non Negative Elements,Medium,,85.2%,"Array, Simulation",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,76.6%,"Hash Table, String, Sliding Window",all
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,72.7%,"Array, Hash Table",all
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,,68.0%,"Array, Greedy",all
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,61.9%,"Two Pointers, String, Dynamic Programming",all
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,61.9%,"Math, Dynamic Programming, Memoization",all
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,,61.9%,"Array, Stack, Simulation",all
321,https://leetcode.com/problems/create-maximum-number,Create Maximum Number,Hard,,61.9%,"Array, Two Pointers, Stack, Greedy, Monotonic Stack",all
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,,61.9%,"Array, Dynamic Programming, Breadth-First Search",all
80,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,Remove Duplicates from Sorted Array II,Medium,,53.3%,"Array, Two Pointers",all
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,53.3%,"Array, Two Pointers, Greedy",all
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,53.3%,"Array, Dynamic Programming",all
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,,53.3%,"Linked List, Math, Recursion",all
1654,https://leetcode.com/problems/minimum-jumps-to-reach-home,Minimum Jumps to Reach Home,Medium,,53.3%,"Array, Hash Table, Breadth-First Search",all
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,53.3%,"Array, Hash Table, String, Sorting",all
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,53.3%,"Array, Divide and Conquer, Dynamic Programming",all
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,53.3%,"Array, Two Pointers",all
