ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,,100.0%,"Array, Matrix, Simulation",3_months
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,,100.0%,"Array, Greedy",3_months
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,,100.0%,"Stack, Tree, Depth-First Search, Design, Queue, Iterator",3_months
983,https://leetcode.com/problems/minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,,100.0%,"Array, Dynamic Programming",3_months
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,100.0%,"Array, Hash Table, String, Sorting",6_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,100.0%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,,91.4%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",6_months
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,,91.4%,"Array, Matrix, Simulation",6_months
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,79.4%,"Array, Hash Table",6_months
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,,79.4%,"Two Pointers, String, Dynamic Programming",6_months
475,https://leetcode.com/problems/heaters,Heaters,Medium,,79.4%,"Array, Two Pointers, Binary Search, Sorting",6_months
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,,79.4%,"Math, String, Stack",6_months
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,,79.4%,"Array, Greedy",6_months
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,,79.4%,"Stack, Tree, Depth-First Search, Design, Queue, Iterator",6_months
983,https://leetcode.com/problems/minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,,79.4%,"Array, Dynamic Programming",6_months
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,,79.4%,"Array, String, Greedy, Sorting",6_months
761,https://leetcode.com/problems/special-binary-string,Special Binary String,Hard,,100.0%,"String, Divide and Conquer, Sorting",more_than_6m
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,91.6%,"Array, Hash Table, String, Sorting",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,89.1%,"Array, Hash Table",more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,89.1%,"Array, Sorting",more_than_6m
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,,83.1%,"Hash Table, String, Sliding Window",more_than_6m
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,83.1%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",more_than_6m
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,,79.5%,"Hash Table, Math, String",more_than_6m
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,,79.5%,"Array, Two Pointers",more_than_6m
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,,79.5%,"Array, Dynamic Programming, Greedy",more_than_6m
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,,75.3%,"Linked List, Math, Recursion",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,75.3%,"Hash Table, String, Sliding Window",more_than_6m
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,,75.3%,"Array, Binary Search, Divide and Conquer",more_than_6m
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,,75.3%,"Array, String, Trie",more_than_6m
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,75.3%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,75.3%,"Array, Dynamic Programming",more_than_6m
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,75.3%,"Hash Table, Linked List, Design, Doubly-Linked List",more_than_6m
