ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
78,https://leetcode.com/problems/subsets,Subsets,Medium,,100.0%,"Array, Backtracking, Bit Manipulation",30_days
198,https://leetcode.com/problems/house-robber,House Robber,Medium,,100.0%,"Array, Dynamic Programming",3_months
78,https://leetcode.com/problems/subsets,Subsets,Medium,,100.0%,"Array, Backtracking, Bit Manipulation",3_months
726,https://leetcode.com/problems/number-of-atoms,Number of Atoms,Hard,,100.0%,"Hash Table, String, Stack, Sorting",6_months
1921,https://leetcode.com/problems/eliminate-maximum-number-of-monsters,Eliminate Maximum Number of Monsters,Medium,,96.9%,"Array, Greedy, Sorting",6_months
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,,89.0%,"Array, Binary Search",6_months
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,,83.8%,"Array, Sorting",6_months
1209,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Remove All Adjacent Duplicates in String II,Medium,,83.8%,"String, Stack",6_months
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,,77.1%,"Array, Two Pointers, Sorting",6_months
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,67.7%,"String, Stack, Recursion",6_months
1331,https://leetcode.com/problems/rank-transform-of-an-array,Rank Transform of an Array,Easy,,67.7%,"Array, Hash Table, Sorting",6_months
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,,67.7%,"Array, Dynamic Programming, Greedy",6_months
,https://leetcode.com/problems/maximum-team-size-with-overlapping-intervals,Maximum Team Size with Overlapping Intervals,Medium,,67.7%,,6_months
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,,67.7%,"Array, Dynamic Programming, Breadth-First Search",6_months
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,,67.7%,"Array, Stack, Monotonic Stack",6_months
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,,67.7%,"Array, Binary Search",6_months
198,https://leetcode.com/problems/house-robber,House Robber,Medium,,67.7%,"Array, Dynamic Programming",6_months
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,67.7%,"Hash Table, String, Sliding Window",6_months
78,https://leetcode.com/problems/subsets,Subsets,Medium,,67.7%,"Array, Backtracking, Bit Manipulation",6_months
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,,67.7%,"Array, Hash Table, Prefix Sum",6_months
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,100.0%,"Array, Dynamic Programming",more_than_6m
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,,96.7%,"Array, Sorting",more_than_6m
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,,88.1%,"Array, Stack, Monotonic Stack",more_than_6m
1921,https://leetcode.com/problems/eliminate-maximum-number-of-monsters,Eliminate Maximum Number of Monsters,Medium,,88.1%,"Array, Greedy, Sorting",more_than_6m
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,,82.3%,"Array, Binary Search",more_than_6m
15,https://leetcode.com/problems/3sum,3Sum,Medium,,78.7%,"Array, Two Pointers, Sorting",more_than_6m
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,,78.7%,"Array, Dynamic Programming, Matrix",more_than_6m
844,https://leetcode.com/problems/backspace-string-compare,Backspace String Compare,Easy,,69.3%,"Two Pointers, String, Stack, Simulation",more_than_6m
726,https://leetcode.com/problems/number-of-atoms,Number of Atoms,Hard,,69.3%,"Hash Table, String, Stack, Sorting",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,62.7%,"Hash Table, String, Sliding Window",more_than_6m
1636,https://leetcode.com/problems/sort-array-by-increasing-frequency,Sort Array by Increasing Frequency,Easy,,62.7%,"Array, Hash Table, Sorting",more_than_6m
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,62.7%,"String, Stack, Recursion",more_than_6m
724,https://leetcode.com/problems/find-pivot-index,Find Pivot Index,Easy,,62.7%,"Array, Prefix Sum",more_than_6m
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,62.7%,"Math, Dynamic Programming, Memoization",more_than_6m
120,https://leetcode.com/problems/triangle,Triangle,Medium,,53.3%,"Array, Dynamic Programming",more_than_6m
198,https://leetcode.com/problems/house-robber,House Robber,Medium,,53.3%,"Array, Dynamic Programming",more_than_6m
3178,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,Find the Child Who Has the Ball After K Seconds,Easy,,53.3%,"Math, Simulation",more_than_6m
2734,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation,Lexicographically Smallest String After Substring Operation,Medium,,53.3%,"String, Greedy",more_than_6m
1190,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,Reverse Substrings Between Each Pair of Parentheses,Medium,,53.3%,"String, Stack",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,53.3%,"Array, Hash Table",more_than_6m
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,,53.3%,"Array, Hash Table, Math, Design, Randomized",more_than_6m
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,,53.3%,"Array, Two Pointers, Sorting",more_than_6m
1283,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Find the Smallest Divisor Given a Threshold,Medium,,53.3%,"Array, Binary Search",more_than_6m
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,,53.3%,"Hash Table, Math, String",more_than_6m
496,https://leetcode.com/problems/next-greater-element-i,Next Greater Element I,Easy,,53.3%,"Array, Hash Table, Stack, Monotonic Stack",more_than_6m
46,https://leetcode.com/problems/permutations,Permutations,Medium,,53.3%,"Array, Backtracking",more_than_6m
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,,53.3%,"Array, Binary Search, Sliding Window, Prefix Sum",more_than_6m
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,,53.3%,"Math, String, Simulation",more_than_6m
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,,53.3%,"Array, Dynamic Programming, Greedy",more_than_6m
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,,53.3%,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting",more_than_6m
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,,53.3%,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting",more_than_6m
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,,53.3%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,53.3%,"String, Stack",more_than_6m
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,,53.3%,"Hash Table, Math, Two Pointers",more_than_6m
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,,53.3%,"Array, Binary Search, Dynamic Programming",more_than_6m
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,,100.0%,"Array, Sorting",all
1921,https://leetcode.com/problems/eliminate-maximum-number-of-monsters,Eliminate Maximum Number of Monsters,Medium,,98.6%,"Array, Greedy, Sorting",all
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,97.1%,"Array, Dynamic Programming",all
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,,91.8%,"Array, Binary Search",all
726,https://leetcode.com/problems/number-of-atoms,Number of Atoms,Hard,,91.8%,"Hash Table, String, Stack, Sorting",all
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,,89.8%,"Array, Stack, Monotonic Stack",all
3178,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,Find the Child Who Has the Ball After K Seconds,Easy,,87.6%,"Math, Simulation",all
3787,https://leetcode.com/problems/find-diameter-endpoints-of-a-tree,Find Diameter Endpoints of a Tree,Medium,,82.4%,"Tree, Breadth-First Search, Graph Theory",all
15,https://leetcode.com/problems/3sum,3Sum,Medium,,75.6%,"Array, Two Pointers, Sorting",all
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,,75.6%,"Array, Dynamic Programming, Matrix",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,71.4%,"Hash Table, String, Sliding Window",all
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,71.4%,"String, Stack, Recursion",all
1209,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Remove All Adjacent Duplicates in String II,Medium,,71.4%,"String, Stack",all
198,https://leetcode.com/problems/house-robber,House Robber,Medium,,66.2%,"Array, Dynamic Programming",all
844,https://leetcode.com/problems/backspace-string-compare,Backspace String Compare,Easy,,66.2%,"Two Pointers, String, Stack, Simulation",all
