ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,,100.0%,"Hash Table, Math, String",6_months
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,100.0%,"Math, Dynamic Programming, Memoization",6_months
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",more_than_6m
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,,100.0%,"Hash Table, Math, String",more_than_6m
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,,86.1%,"Array, Matrix, Simulation",more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,86.1%,"Array, Sorting",more_than_6m
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,86.1%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",more_than_6m
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,86.1%,"Array, Two Pointers, Sorting",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,75.2%,"Hash Table, String, Sliding Window",more_than_6m
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,,75.2%,"Array, Hash Table, Prefix Sum",more_than_6m
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,75.2%,"Hash Table, Linked List, Design, Doubly-Linked List",more_than_6m
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,,75.2%,Math,more_than_6m
15,https://leetcode.com/problems/3sum,3Sum,Medium,,75.2%,"Array, Two Pointers, Sorting",more_than_6m
876,https://leetcode.com/problems/middle-of-the-linked-list,Middle of the Linked List,Easy,,75.2%,"Linked List, Two Pointers",more_than_6m
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,75.2%,"Array, Two Pointers",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",all
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,,100.0%,"Hash Table, Math, String",all
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,93.8%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,85.8%,"Hash Table, String, Sliding Window",all
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,,85.8%,"Array, Matrix, Simulation",all
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,85.8%,"Array, Sorting",all
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,85.8%,"Array, Two Pointers, Sorting",all
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,,74.5%,"Array, Hash Table, Prefix Sum",all
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,74.5%,"Hash Table, Linked List, Design, Doubly-Linked List",all
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,,74.5%,Math,all
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,74.5%,"Array, Two Pointers",all
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,,74.5%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",all
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,,74.5%,"Hash Table, Math, String",all
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,,74.5%,"Linked List, Two Pointers, Stack, Recursion",all
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,74.5%,"Math, Dynamic Programming, Memoization",all
15,https://leetcode.com/problems/3sum,3Sum,Medium,,74.5%,"Array, Two Pointers, Sorting",all
876,https://leetcode.com/problems/middle-of-the-linked-list,Middle of the Linked List,Easy,,74.5%,"Linked List, Two Pointers",all
