ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,Shortest Distance from All Buildings,Hard,,100.0%,"Array, Breadth-First Search, Matrix",6_months
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,Shortest Distance from All Buildings,Hard,,100.0%,"Array, Breadth-First Search, Matrix",more_than_6m
609,https://leetcode.com/problems/find-duplicate-file-in-system,Find Duplicate File in System,Medium,,73.8%,"Array, Hash Table, String",more_than_6m
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,,71.4%,"Array, Binary Search",more_than_6m
296,https://leetcode.com/problems/best-meeting-point,Best Meeting Point,Hard,,68.6%,"Array, Math, Sorting, Matrix",more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,65.3%,"Array, Sorting",more_than_6m
529,https://leetcode.com/problems/minesweeper,Minesweeper,Medium,,61.2%,"Array, Depth-First Search, Breadth-First Search, Matrix",more_than_6m
527,https://leetcode.com/problems/word-abbreviation,Word Abbreviation,Hard,,56.0%,"Array, String, Greedy, Trie, Sorting",more_than_6m
622,https://leetcode.com/problems/design-circular-queue,Design Circular Queue,Medium,,48.7%,"Array, Linked List, Design, Queue",more_than_6m
1091,https://leetcode.com/problems/shortest-path-in-binary-matrix,Shortest Path in Binary Matrix,Medium,,48.7%,"Array, Breadth-First Search, Matrix",more_than_6m
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,,48.7%,"Array, Matrix, Simulation",more_than_6m
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,Shortest Distance from All Buildings,Hard,,100.0%,"Array, Breadth-First Search, Matrix",all
609,https://leetcode.com/problems/find-duplicate-file-in-system,Find Duplicate File in System,Medium,,74.5%,"Array, Hash Table, String",all
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,,72.3%,"Array, Binary Search",all
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,67.2%,"Array, Sorting",all
296,https://leetcode.com/problems/best-meeting-point,Best Meeting Point,Hard,,67.2%,"Array, Math, Sorting, Matrix",all
529,https://leetcode.com/problems/minesweeper,Minesweeper,Medium,,63.9%,"Array, Depth-First Search, Breadth-First Search, Matrix",all
527,https://leetcode.com/problems/word-abbreviation,Word Abbreviation,Hard,,54.7%,"Array, String, Greedy, Trie, Sorting",all
622,https://leetcode.com/problems/design-circular-queue,Design Circular Queue,Medium,,54.7%,"Array, Linked List, Design, Queue",all
1091,https://leetcode.com/problems/shortest-path-in-binary-matrix,Shortest Path in Binary Matrix,Medium,,47.4%,"Array, Breadth-First Search, Matrix",all
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,,47.4%,"Array, Matrix, Simulation",all
1274,https://leetcode.com/problems/number-of-ships-in-a-rectangle,Number of Ships in a Rectangle,Hard,,47.4%,"Array, Divide and Conquer, Interactive",all
