ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,,100.0%,"Linked List, Recursion",more_than_6m
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,,96.4%,"String, Backtracking",more_than_6m
143,https://leetcode.com/problems/reorder-list,Reorder List,Medium,,87.3%,"Linked List, Two Pointers, Stack, Recursion",more_than_6m
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,,87.3%,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort",more_than_6m
92,https://leetcode.com/problems/reverse-linked-list-ii,Reverse Linked List II,Medium,,81.3%,Linked List,more_than_6m
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,,81.3%,"Array, Hash Table, Sliding Window",more_than_6m
510,https://leetcode.com/problems/inorder-successor-in-bst-ii,Inorder Successor in BST II,Medium,,81.3%,"Tree, Binary Search Tree, Binary Tree",more_than_6m
203,https://leetcode.com/problems/remove-linked-list-elements,Remove Linked List Elements,Easy,,81.3%,"Linked List, Recursion",more_than_6m
104,https://leetcode.com/problems/maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,,81.3%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",more_than_6m
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,,81.3%,"Hash Table, Linked List",more_than_6m
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,,81.3%,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",more_than_6m
788,https://leetcode.com/problems/rotated-digits,Rotated Digits,Medium,,73.6%,"Math, Dynamic Programming",more_than_6m
2182,https://leetcode.com/problems/construct-string-with-repeat-limit,Construct String With Repeat Limit,Medium,,73.6%,"Hash Table, String, Greedy, Heap (Priority Queue), Counting",more_than_6m
1710,https://leetcode.com/problems/maximum-units-on-a-truck,Maximum Units on a Truck,Easy,,73.6%,"Array, Greedy, Sorting",more_than_6m
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,73.6%,"Hash Table, Linked List, Design, Doubly-Linked List",more_than_6m
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,73.6%,"Array, Binary Search",more_than_6m
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,,73.6%,"String, Stack",more_than_6m
82,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,Remove Duplicates from Sorted List II,Medium,,73.6%,"Linked List, Two Pointers",more_than_6m
997,https://leetcode.com/problems/find-the-town-judge,Find the Town Judge,Easy,,62.8%,"Array, Hash Table, Graph Theory",more_than_6m
1669,https://leetcode.com/problems/merge-in-between-linked-lists,Merge In Between Linked Lists,Medium,,62.8%,Linked List,more_than_6m
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,,62.8%,"Two Pointers, String, Dynamic Programming",more_than_6m
113,https://leetcode.com/problems/path-sum-ii,Path Sum II,Medium,,62.8%,"Backtracking, Tree, Depth-First Search, Binary Tree",more_than_6m
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,62.8%,"Two Pointers, String, Dynamic Programming",more_than_6m
79,https://leetcode.com/problems/word-search,Word Search,Medium,,62.8%,"Array, String, Backtracking, Depth-First Search, Matrix",more_than_6m
46,https://leetcode.com/problems/permutations,Permutations,Medium,,62.8%,"Array, Backtracking",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,62.8%,"Hash Table, String, Sliding Window",more_than_6m
1910,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,Remove All Occurrences of a Substring,Medium,,62.8%,"String, Stack, Simulation",more_than_6m
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,62.8%,"Array, Divide and Conquer, Dynamic Programming",more_than_6m
24,https://leetcode.com/problems/swap-nodes-in-pairs,Swap Nodes in Pairs,Medium,,62.8%,"Linked List, Recursion",more_than_6m
139,https://leetcode.com/problems/word-break,Word Break,Medium,,62.8%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",more_than_6m
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,,62.8%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",more_than_6m
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,,62.8%,"String, Dynamic Programming",more_than_6m
703,https://leetcode.com/problems/kth-largest-element-in-a-stream,Kth Largest Element in a Stream,Easy,,62.8%,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream",more_than_6m
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,,62.8%,"Two Pointers, String",more_than_6m
2182,https://leetcode.com/problems/construct-string-with-repeat-limit,Construct String With Repeat Limit,Medium,,100.0%,"Hash Table, String, Greedy, Heap (Priority Queue), Counting",all
997,https://leetcode.com/problems/find-the-town-judge,Find the Town Judge,Easy,,97.6%,"Array, Hash Table, Graph Theory",all
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,,91.9%,"Linked List, Recursion",all
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,,91.9%,"String, Backtracking",all
143,https://leetcode.com/problems/reorder-list,Reorder List,Medium,,84.6%,"Linked List, Two Pointers, Stack, Recursion",all
92,https://leetcode.com/problems/reverse-linked-list-ii,Reverse Linked List II,Medium,,80.0%,Linked List,all
203,https://leetcode.com/problems/remove-linked-list-elements,Remove Linked List Elements,Easy,,80.0%,"Linked List, Recursion",all
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,,80.0%,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort",all
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,74.3%,"Hash Table, Linked List, Design, Doubly-Linked List",all
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,,74.3%,"Array, Hash Table, Sliding Window",all
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,,74.3%,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",all
510,https://leetcode.com/problems/inorder-successor-in-bst-ii,Inorder Successor in BST II,Medium,,74.3%,"Tree, Binary Search Tree, Binary Tree",all
104,https://leetcode.com/problems/maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,,74.3%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",all
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,74.3%,"Array, Binary Search",all
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,,74.3%,"Hash Table, Linked List",all
788,https://leetcode.com/problems/rotated-digits,Rotated Digits,Medium,,67.0%,"Math, Dynamic Programming",all
1710,https://leetcode.com/problems/maximum-units-on-a-truck,Maximum Units on a Truck,Easy,,67.0%,"Array, Greedy, Sorting",all
46,https://leetcode.com/problems/permutations,Permutations,Medium,,67.0%,"Array, Backtracking",all
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,,67.0%,"String, Stack",all
