ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,100.0%,"Array, Hash Table, String, Sorting",more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,86.9%,"Array, Sorting",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,86.9%,"Hash Table, String, Sliding Window",more_than_6m
2082,https://leetcode.com/problems/the-number-of-rich-customers,The Number of Rich Customers,Easy,,76.5%,Database,more_than_6m
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,76.5%,"Two Pointers, String, Dynamic Programming",more_than_6m
2082,https://leetcode.com/problems/the-number-of-rich-customers,The Number of Rich Customers,Easy,,100.0%,Database,all
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,84.6%,"Array, Hash Table, String, Sorting",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,79.6%,"Hash Table, String, Sliding Window",all
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,73.2%,"Array, Sorting",all
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,64.2%,"Two Pointers, String, Dynamic Programming",all
