ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
,https://leetcode.com/problems/maximum-score-with-co-prime-element,Maximum Score with Co-Prime Element,Hard,,100.0%,"Array, Hash Table, Math, Combinatorics, Enumeration, Number Theory",3_months
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,100.0%,"Array, Dynamic Programming",3_months
432,https://leetcode.com/problems/all-oone-data-structure,All O`one Data Structure,Hard,,100.0%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
79,https://leetcode.com/problems/word-search,Word Search,Medium,,100.0%,"Array, String, Backtracking, Depth-First Search, Matrix",6_months
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,100.0%,"Array, Sorting",6_months
,https://leetcode.com/problems/maximum-score-with-co-prime-element,Maximum Score with Co-Prime Element,Hard,,100.0%,"Array, Hash Table, Math, Combinatorics, Enumeration, Number Theory",6_months
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,100.0%,"Array, Dynamic Programming",6_months
1366,https://leetcode.com/problems/rank-teams-by-votes,Rank Teams by Votes,Medium,,100.0%,"Array, Hash Table, String, Sorting, Counting",more_than_6m
2034,https://leetcode.com/problems/stock-price-fluctuation,Stock Price Fluctuation,Medium,,95.0%,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set",more_than_6m
432,https://leetcode.com/problems/all-oone-data-structure,All O`one Data Structure,Hard,,91.2%,"Hash Table, Linked List, Design, Doubly-Linked List",more_than_6m
353,https://leetcode.com/problems/design-snake-game,Design Snake Game,Medium,,88.1%,"Array, Hash Table, Design, Queue, Simulation",more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,81.7%,"Array, Sorting",more_than_6m
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,,74.1%,"Tree, Depth-First Search, Binary Tree",more_than_6m
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,,70.7%,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",more_than_6m
2933,https://leetcode.com/problems/high-access-employees,High-Access Employees,Medium,,64.9%,"Array, Hash Table, String, Sorting",more_than_6m
2639,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,Find the Width of Columns of a Grid,Easy,,64.9%,"Array, Matrix",more_than_6m
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,,63.2%,"Array, String, Simulation",more_than_6m
2975,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field,Maximum Square Area by Removing Fences From a Field,Medium,,63.2%,"Array, Hash Table, Enumeration",more_than_6m
3000,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Maximum Area of Longest Diagonal Rectangle,Easy,,63.2%,Array,more_than_6m
79,https://leetcode.com/problems/word-search,Word Search,Medium,,61.2%,"Array, String, Backtracking, Depth-First Search, Matrix",more_than_6m
1676,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv,Lowest Common Ancestor of a Binary Tree IV,Medium,,61.2%,"Hash Table, Tree, Depth-First Search, Binary Tree",more_than_6m
2039,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,The Time When the Network Becomes Idle,Medium,,56.5%,"Array, Breadth-First Search, Graph Theory",more_than_6m
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,,53.6%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",more_than_6m
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,50.3%,"Array, Hash Table, String, Sorting",more_than_6m
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,,50.3%,"Hash Table, Design, Data Stream",more_than_6m
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,,50.3%,"Array, Greedy",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,46.1%,"Array, Dynamic Programming",more_than_6m
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,,46.1%,"Array, Binary Search",more_than_6m
354,https://leetcode.com/problems/russian-doll-envelopes,Russian Doll Envelopes,Hard,,46.1%,"Array, Binary Search, Dynamic Programming, Sorting",more_than_6m
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,,40.8%,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,40.8%,"Array, Hash Table",more_than_6m
2959,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,Number of Possible Sets of Closing Branches,Hard,,40.8%,"Bit Manipulation, Graph Theory, Heap (Priority Queue), Enumeration, Shortest Path",more_than_6m
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,,40.8%,"Array, Hash Table, Union-Find",more_than_6m
1010,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,Pairs of Songs With Total Durations Divisible by 60,Medium,,40.8%,"Array, Hash Table, Counting",more_than_6m
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,,40.8%,"Array, Dynamic Programming, Greedy",more_than_6m
2561,https://leetcode.com/problems/rearranging-fruits,Rearranging Fruits,Hard,,40.8%,"Array, Hash Table, Greedy, Sort",more_than_6m
177,https://leetcode.com/problems/nth-highest-salary,Nth Highest Salary,Medium,,40.8%,Database,more_than_6m
1970,https://leetcode.com/problems/last-day-where-you-can-still-cross,Last Day Where You Can Still Cross,Hard,,40.8%,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Matrix",more_than_6m
1166,https://leetcode.com/problems/design-file-system,Design File System,Medium,,33.4%,"Hash Table, String, Design, Trie",more_than_6m
