ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1457,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree,Pseudo-Palindromic Paths in a Binary Tree,Medium,,100.0%,,all
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,,87.5%,,all
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,,100.0%,,all
3433,https://leetcode.com/problems/count-mentions-per-user,Count Mentions Per User,Medium,,100.0%,,all
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,,100.0%,,all
209,https://leetcode.com/problems/minimum-size-subarray-sum,Minimum Size Subarray Sum,Medium,,87.5%,,all
185,https://leetcode.com/problems/department-top-three-salaries,Department Top Three Salaries,Hard,,75.0%,,all
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,,100.0%,,all
3447,https://leetcode.com/problems/assign-elements-to-groups-with-constraints,Assign Elements to Groups with Constraints,Medium,,100.0%,,all
3452,https://leetcode.com/problems/sum-of-good-numbers,Sum of Good Numbers,Easy,,100.0%,,all
