ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,,100.0%,"Hash Table, Math, Two Pointers",6_months
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,,100.0%,"Hash Table, Math, Two Pointers",more_than_6m
3068,https://leetcode.com/problems/find-the-maximum-sum-of-node-values,Find the Maximum Sum of Node Values,Hard,,72.0%,"Array, Dynamic Programming, Greedy, Bit Manipulation, Tree, Sorting",more_than_6m
3004,https://leetcode.com/problems/maximum-subtree-of-the-same-color,Maximum Subtree of the Same Color,Medium,,70.3%,"Array, Dynamic Programming, Tree, Depth-First Search",more_than_6m
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,61.4%,"Array, Hash Table, String, Sorting",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,58.3%,"Array, Dynamic Programming",more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,54.4%,"String, Stack",more_than_6m
2291,https://leetcode.com/problems/maximum-profit-from-trading-stocks,Maximum Profit From Trading Stocks,Medium,,49.4%,"Array, Dynamic Programming",more_than_6m
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,42.4%,"Two Pointers, String, Dynamic Programming",more_than_6m
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,42.4%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,42.4%,"Array, Hash Table",more_than_6m
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,,42.4%,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",more_than_6m
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,42.4%,"Math, Dynamic Programming, Memoization",more_than_6m
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,,100.0%,"Hash Table, Math, Two Pointers",all
3068,https://leetcode.com/problems/find-the-maximum-sum-of-node-values,Find the Maximum Sum of Node Values,Hard,,71.3%,"Array, Dynamic Programming, Greedy, Bit Manipulation, Tree, Sorting",all
3004,https://leetcode.com/problems/maximum-subtree-of-the-same-color,Maximum Subtree of the Same Color,Medium,,69.7%,"Array, Dynamic Programming, Tree, Depth-First Search",all
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,60.8%,"Array, Hash Table, String, Sorting",all
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,57.6%,"Array, Dynamic Programming",all
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,53.7%,"String, Stack",all
2291,https://leetcode.com/problems/maximum-profit-from-trading-stocks,Maximum Profit From Trading Stocks,Medium,,48.7%,"Array, Dynamic Programming",all
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,41.7%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",all
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,41.7%,"Two Pointers, String, Dynamic Programming",all
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,41.7%,"Array, Hash Table",all
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,,41.7%,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",all
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,41.7%,"Math, Dynamic Programming, Memoization",all
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,,41.7%,"Hash Table, Math, String",all
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,,41.7%,"Array, Two Pointers, Binary Search, Bit Manipulation",all
