ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
924,https://leetcode.com/problems/minimize-malware-spread,Minimize Malware Spread,Hard,,100.0%,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory",more_than_6m
853,https://leetcode.com/problems/car-fleet,Car Fleet,Medium,,91.5%,"Array, Stack, Sorting, Monotonic Stack",more_than_6m
898,https://leetcode.com/problems/bitwise-ors-of-subarrays,Bitwise ORs of Subarrays,Medium,,91.5%,"Array, Dynamic Programming, Bit Manipulation",more_than_6m
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,,91.5%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",more_than_6m
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,79.5%,"Array, Hash Table, String, Sorting",more_than_6m
2615,https://leetcode.com/problems/sum-of-distances,Sum of Distances,Medium,,79.5%,"Array, Hash Table, Prefix Sum",more_than_6m
3012,https://leetcode.com/problems/minimize-length-of-array-using-operations,Minimize Length of Array Using Operations,Medium,,79.5%,"Array, Math, Greedy, Number Theory",more_than_6m
2876,https://leetcode.com/problems/count-visited-nodes-in-a-directed-graph,Count Visited Nodes in a Directed Graph,Hard,,79.5%,"Dynamic Programming, Depth-First Search, Graph Theory, Topological Sort, Memoization",more_than_6m
1465,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,Medium,,79.5%,"Array, Greedy, Sorting",more_than_6m
3251,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii,Find the Count of Monotonic Pairs II,Hard,,79.5%,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum",more_than_6m
15,https://leetcode.com/problems/3sum,3Sum,Medium,,79.5%,"Array, Two Pointers, Sorting",more_than_6m
2044,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets,Count Number of Maximum Bitwise-OR Subsets,Medium,,79.5%,"Array, Backtracking, Bit Manipulation, Enumeration",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,79.5%,"Array, Dynamic Programming",more_than_6m
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,79.5%,"Array, Two Pointers, Sorting",more_than_6m
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,,79.5%,"Two Pointers, String, Dynamic Programming",more_than_6m
,https://leetcode.com/problems/count-good-subarrays,Count Good Subarrays,Hard,,79.5%,"Array, Stack, Bit Manipulation, Monotonic Stack",more_than_6m
1465,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,Medium,,100.0%,"Array, Greedy, Sorting",all
2876,https://leetcode.com/problems/count-visited-nodes-in-a-directed-graph,Count Visited Nodes in a Directed Graph,Hard,,100.0%,"Dynamic Programming, Depth-First Search, Graph Theory, Topological Sort, Memoization",all
2615,https://leetcode.com/problems/sum-of-distances,Sum of Distances,Medium,,100.0%,"Array, Hash Table, Prefix Sum",all
3012,https://leetcode.com/problems/minimize-length-of-array-using-operations,Minimize Length of Array Using Operations,Medium,,100.0%,"Array, Math, Greedy, Number Theory",all
924,https://leetcode.com/problems/minimize-malware-spread,Minimize Malware Spread,Hard,,77.8%,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory",all
853,https://leetcode.com/problems/car-fleet,Car Fleet,Medium,,70.8%,"Array, Stack, Sorting, Monotonic Stack",all
898,https://leetcode.com/problems/bitwise-ors-of-subarrays,Bitwise ORs of Subarrays,Medium,,70.8%,"Array, Dynamic Programming, Bit Manipulation",all
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,,70.8%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",all
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,61.0%,"Array, Hash Table, String, Sorting",all
3251,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii,Find the Count of Monotonic Pairs II,Hard,,61.0%,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum",all
15,https://leetcode.com/problems/3sum,3Sum,Medium,,61.0%,"Array, Two Pointers, Sorting",all
2044,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets,Count Number of Maximum Bitwise-OR Subsets,Medium,,61.0%,"Array, Backtracking, Bit Manipulation, Enumeration",all
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,61.0%,"Array, Two Pointers, Sorting",all
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,61.0%,"Array, Dynamic Programming",all
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,,61.0%,"Two Pointers, String, Dynamic Programming",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,61.0%,"Hash Table, String, Sliding Window",all
,https://leetcode.com/problems/count-good-subarrays,Count Good Subarrays,Hard,,61.0%,"Array, Stack, Bit Manipulation, Monotonic Stack",all
