ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1380,https://leetcode.com/problems/lucky-numbers-in-a-matrix,Lucky Numbers in a Matrix,Easy,,100.0%,"Array, Matrix",30_days
3508,https://leetcode.com/problems/implement-router,Implement Router,Medium,,100.0%,"Array, Hash Table, Binary Search, Design, Queue, Ordered Set",3_months
198,https://leetcode.com/problems/house-robber,House Robber,Medium,,79.5%,"Array, Dynamic Programming",3_months
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,73.1%,"Two Pointers, String, Dynamic Programming",3_months
1380,https://leetcode.com/problems/lucky-numbers-in-a-matrix,Lucky Numbers in a Matrix,Easy,,73.1%,"Array, Matrix",3_months
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,,64.1%,"Array, Math, Matrix",3_months
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,,64.1%,"Math, String, Simulation",3_months
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,64.1%,"Hash Table, String, Sliding Window",3_months
141,https://leetcode.com/problems/linked-list-cycle,Linked List Cycle,Easy,,64.1%,"Hash Table, Linked List, Two Pointers",3_months
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,100.0%,"Two Pointers, String, Dynamic Programming",6_months
198,https://leetcode.com/problems/house-robber,House Robber,Medium,,96.5%,"Array, Dynamic Programming",6_months
3508,https://leetcode.com/problems/implement-router,Implement Router,Medium,,92.4%,"Array, Hash Table, Binary Search, Design, Queue, Ordered Set",6_months
1380,https://leetcode.com/problems/lucky-numbers-in-a-matrix,Lucky Numbers in a Matrix,Easy,,87.4%,"Array, Matrix",6_months
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,,80.9%,"Array, Matrix, Simulation",6_months
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,,76.8%,"Math, String, Simulation",6_months
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,71.8%,"Hash Table, String, Sliding Window",6_months
