ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,,100.0%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",3_months
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,74.4%,"Array, Sorting",3_months
2484,https://leetcode.com/problems/count-palindromic-subsequences,Count Palindromic Subsequences,Hard,,65.7%,"String, Dynamic Programming",3_months
1229,https://leetcode.com/problems/meeting-scheduler,Meeting Scheduler,Medium,,65.7%,"Array, Two Pointers, Sorting",3_months
1606,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,Find Servers That Handled Most Number of Requests,Hard,,65.7%,"Array, Greedy, Heap (Priority Queue), Ordered Set",3_months
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,65.7%,"Array, Dynamic Programming",3_months
2484,https://leetcode.com/problems/count-palindromic-subsequences,Count Palindromic Subsequences,Hard,,100.0%,"String, Dynamic Programming",6_months
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,,93.3%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",6_months
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,,91.2%,"Two Pointers, String, Dynamic Programming",6_months
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,83.4%,"Array, Sorting",6_months
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,,76.1%,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path",6_months
1229,https://leetcode.com/problems/meeting-scheduler,Meeting Scheduler,Medium,,71.3%,"Array, Two Pointers, Sorting",6_months
759,https://leetcode.com/problems/employee-free-time,Employee Free Time,Hard,,71.3%,"Array, Line Sweep, Sorting, Heap (Priority Queue)",6_months
2050,https://leetcode.com/problems/parallel-courses-iii,Parallel Courses III,Hard,,65.1%,"Array, Dynamic Programming, Graph, Topological Sort",6_months
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,,65.1%,"Array, Two Pointers, Binary Search, Bit Manipulation",6_months
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,,56.3%,"Array, Hash Table, Math, Design, Randomized",6_months
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,,56.3%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,56.3%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",6_months
