ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
934,https://leetcode.com/problems/shortest-bridge,Shortest Bridge,Medium,,100.0%,"Array, Depth-First Search, Breadth-First Search, Matrix",30_days
934,https://leetcode.com/problems/shortest-bridge,Shortest Bridge,Medium,,100.0%,"Array, Depth-First Search, Breadth-First Search, Matrix",3_months
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,,92.8%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",3_months
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,,92.8%,"String, Stack, Greedy, Monotonic Stack",3_months
638,https://leetcode.com/problems/shopping-offers,Shopping Offers,Medium,,82.6%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask",3_months
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,,82.6%,"Array, Hash Table, Binary Search, Design",3_months
638,https://leetcode.com/problems/shopping-offers,Shopping Offers,Medium,,100.0%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask",6_months
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,,94.0%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",6_months
658,https://leetcode.com/problems/find-k-closest-elements,Find K Closest Elements,Medium,,94.0%,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)",6_months
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,,94.0%,"String, Stack, Greedy, Monotonic Stack",6_months
934,https://leetcode.com/problems/shortest-bridge,Shortest Bridge,Medium,,94.0%,"Array, Depth-First Search, Breadth-First Search, Matrix",6_months
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,,86.2%,"Array, Binary Search, Design, Queue, Data Stream",6_months
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,,86.2%,"String, Dynamic Programming, Greedy, Recursion",6_months
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,,75.3%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
1062,https://leetcode.com/problems/longest-repeating-substring,Longest Repeating Substring,Medium,,75.3%,"String, Binary Search, Dynamic Programming, Rolling Hash, Suffix Array, Hash Function",6_months
694,https://leetcode.com/problems/number-of-distinct-islands,Number of Distinct Islands,Medium,,75.3%,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function",6_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,75.3%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,75.3%,"Hash Table, String, Sliding Window",6_months
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,,75.3%,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",6_months
1044,https://leetcode.com/problems/longest-duplicate-substring,Longest Duplicate Substring,Hard,,75.3%,"String, Binary Search, Sliding Window, Rolling Hash, Suffix Array, Hash Function",6_months
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,,75.3%,"Array, Hash Table, Binary Search, Design",6_months
588,https://leetcode.com/problems/design-in-memory-file-system,Design In-Memory File System,Hard,,75.3%,"Hash Table, String, Design, Trie, Sorting",6_months
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,,100.0%,"Hash Table, Linked List, Design, Doubly-Linked List",more_than_6m
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,96.9%,"Hash Table, Linked List, Design, Doubly-Linked List",more_than_6m
588,https://leetcode.com/problems/design-in-memory-file-system,Design In-Memory File System,Hard,,93.5%,"Hash Table, String, Design, Trie, Sorting",more_than_6m
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,,89.5%,"Array, Dynamic Programming, Matrix",more_than_6m
355,https://leetcode.com/problems/design-twitter,Design Twitter,Medium,,89.5%,"Hash Table, Linked List, Design, Heap (Priority Queue)",more_than_6m
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,,84.8%,"Math, Dynamic Programming, Combinatorics",more_than_6m
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,,84.8%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",more_than_6m
886,https://leetcode.com/problems/possible-bipartition,Possible Bipartition,Medium,,84.8%,"Depth-First Search, Breadth-First Search, Union Find, Graph",more_than_6m
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,,84.8%,"String, Dynamic Programming, Recursion",more_than_6m
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,79.0%,"String, Stack, Recursion",more_than_6m
