ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
696,https://leetcode.com/problems/count-binary-substrings,Count Binary Substrings,Easy,,100.0%,"Two Pointers, String",6_months
1328,https://leetcode.com/problems/break-a-palindrome,Break a Palindrome,Medium,,100.0%,"String, Greedy",6_months
696,https://leetcode.com/problems/count-binary-substrings,Count Binary Substrings,Easy,,100.0%,"Two Pointers, String",more_than_6m
1328,https://leetcode.com/problems/break-a-palindrome,Break a Palindrome,Medium,,76.0%,"String, Greedy",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,69.7%,"Hash Table, String, Sliding Window",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,69.7%,"Array, Hash Table",more_than_6m
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,69.7%,"Array, Hash Table, String, Sorting",more_than_6m
1413,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,Minimum Value to Get Positive Step by Step Sum,Easy,,69.7%,"Array, Prefix Sum",more_than_6m
196,https://leetcode.com/problems/delete-duplicate-emails,Delete Duplicate Emails,Easy,,60.8%,Database,more_than_6m
185,https://leetcode.com/problems/department-top-three-salaries,Department Top Three Salaries,Hard,,60.8%,Database,more_than_6m
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,,60.8%,"Hash Table, String, Sorting",more_than_6m
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,60.8%,"Array, Divide and Conquer, Dynamic Programming",more_than_6m
696,https://leetcode.com/problems/count-binary-substrings,Count Binary Substrings,Easy,,100.0%,"Two Pointers, String",all
1328,https://leetcode.com/problems/break-a-palindrome,Break a Palindrome,Medium,,81.4%,"String, Greedy",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,66.2%,"Hash Table, String, Sliding Window",all
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,66.2%,"Array, Hash Table, String, Sorting",all
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,66.2%,"Array, Hash Table",all
1413,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,Minimum Value to Get Positive Step by Step Sum,Easy,,66.2%,"Array, Prefix Sum",all
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,66.2%,"Array, Divide and Conquer, Dynamic Programming",all
196,https://leetcode.com/problems/delete-duplicate-emails,Delete Duplicate Emails,Easy,,57.3%,Database,all
185,https://leetcode.com/problems/department-top-three-salaries,Department Top Three Salaries,Hard,,57.3%,Database,all
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,57.3%,"String, Stack",all
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,,57.3%,"Hash Table, String, Sorting",all
