ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
135,https://leetcode.com/problems/candy,Candy,Hard,,100.0%,"Array, Greedy",6_months
2043,https://leetcode.com/problems/simple-bank-system,Simple Bank System,Medium,,100.0%,"Array, Hash Table, Design, Simulation",6_months
2043,https://leetcode.com/problems/simple-bank-system,Simple Bank System,Medium,,100.0%,"Array, Hash Table, Design, Simulation",more_than_6m
843,https://leetcode.com/problems/guess-the-word,Guess the Word,Hard,,86.5%,"Array, Math, String, Interactive, Game Theory",more_than_6m
924,https://leetcode.com/problems/minimize-malware-spread,Minimize Malware Spread,Hard,,74.7%,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory",more_than_6m
1236,https://leetcode.com/problems/web-crawler,Web Crawler,Medium,,74.7%,"String, Depth-First Search, Breadth-First Search, Interactive",more_than_6m
1242,https://leetcode.com/problems/web-crawler-multithreaded,Web Crawler Multithreaded,Medium,,74.7%,"Depth-First Search, Breadth-First Search, Concurrency",more_than_6m
609,https://leetcode.com/problems/find-duplicate-file-in-system,Find Duplicate File in System,Medium,,65.4%,"Array, Hash Table, String",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,65.4%,"Array, Hash Table",more_than_6m
1178,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle,Number of Valid Words for Each Puzzle,Hard,,65.4%,"Array, Hash Table, String, Bit Manipulation, Trie",more_than_6m
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,,65.4%,"Array, Matrix, Simulation",more_than_6m
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,,65.4%,"Array, Binary Search, Divide and Conquer",more_than_6m
290,https://leetcode.com/problems/word-pattern,Word Pattern,Easy,,65.4%,"Hash Table, String",more_than_6m
291,https://leetcode.com/problems/word-pattern-ii,Word Pattern II,Medium,,65.4%,"Hash Table, String, Backtracking",more_than_6m
1845,https://leetcode.com/problems/seat-reservation-manager,Seat Reservation Manager,Medium,,65.4%,"Design, Heap (Priority Queue)",more_than_6m
