ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
2227,https://leetcode.com/problems/encrypt-and-decrypt-strings,Encrypt and Decrypt Strings,Hard,,100.0%,"Array, Hash Table, String, Design, Trie",3_months
2227,https://leetcode.com/problems/encrypt-and-decrypt-strings,Encrypt and Decrypt Strings,Hard,,100.0%,"Array, Hash Table, String, Design, Trie",6_months
2227,https://leetcode.com/problems/encrypt-and-decrypt-strings,Encrypt and Decrypt Strings,Hard,,100.0%,"Array, Hash Table, String, Design, Trie",more_than_6m
329,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,Hard,,78.7%,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix",more_than_6m
1733,https://leetcode.com/problems/minimum-number-of-people-to-teach,Minimum Number of People to Teach,Medium,,68.8%,"Array, Hash Table, Greedy",more_than_6m
2365,https://leetcode.com/problems/task-scheduler-ii,Task Scheduler II,Medium,,68.8%,"Array, Hash Table, Simulation",more_than_6m
2090,https://leetcode.com/problems/k-radius-subarray-averages,K Radius Subarray Averages,Medium,,61.0%,"Array, Sliding Window",more_than_6m
2227,https://leetcode.com/problems/encrypt-and-decrypt-strings,Encrypt and Decrypt Strings,Hard,,100.0%,"Array, Hash Table, String, Design, Trie",all
1733,https://leetcode.com/problems/minimum-number-of-people-to-teach,Minimum Number of People to Teach,Medium,,84.7%,"Array, Hash Table, Greedy",all
2090,https://leetcode.com/problems/k-radius-subarray-averages,K Radius Subarray Averages,Medium,,82.9%,"Array, Sliding Window",all
329,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,Hard,,70.0%,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix",all
2365,https://leetcode.com/problems/task-scheduler-ii,Task Scheduler II,Medium,,65.9%,"Array, Hash Table, Simulation",all
