ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1962,https://leetcode.com/problems/remove-stones-to-minimize-the-total,Remove Stones to Minimize the Total,Medium,,100.0%,"Array, Greedy, Heap (Priority Queue)",3_months
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,,100.0%,"Math, String, Stack",3_months
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,,100.0%,"Hash Table, Linked List, Design, Doubly-Linked List",3_months
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,,100.0%,String,6_months
1962,https://leetcode.com/problems/remove-stones-to-minimize-the-total,Remove Stones to Minimize the Total,Medium,,91.7%,"Array, Greedy, Heap (Priority Queue)",6_months
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,,91.7%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",6_months
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,91.7%,"Array, Hash Table, String, Sorting",6_months
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,91.7%,"Array, Sorting",6_months
724,https://leetcode.com/problems/find-pivot-index,Find Pivot Index,Easy,,80.1%,"Array, Prefix Sum",6_months
198,https://leetcode.com/problems/house-robber,House Robber,Medium,,80.1%,"Array, Dynamic Programming",6_months
1465,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,Medium,,80.1%,"Array, Greedy, Sorting",6_months
695,https://leetcode.com/problems/max-area-of-island,Max Area of Island,Medium,,80.1%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",6_months
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,,80.1%,"Math, String, Stack",6_months
1283,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Find the Smallest Divisor Given a Threshold,Medium,,80.1%,"Array, Binary Search",6_months
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,,80.1%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,80.1%,"Array, Hash Table",6_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,80.1%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
895,https://leetcode.com/problems/maximum-frequency-stack,Maximum Frequency Stack,Hard,,80.1%,"Hash Table, Stack, Design, Ordered Set",6_months
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,,80.1%,"Array, Binary Search",6_months
