ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,100.0%,"Array, Breadth-First Search, Matrix",3_months
417,https://leetcode.com/problems/pacific-atlantic-water-flow,Pacific Atlantic Water Flow,Medium,,100.0%,"Array, Depth-First Search, Breadth-First Search, Matrix",6_months
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,100.0%,"Array, Breadth-First Search, Matrix",6_months
1423,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,Maximum Points You Can Obtain from Cards,Medium,,88.6%,"Array, Sliding Window, Prefix Sum",6_months
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,88.6%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",6_months
1423,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,Maximum Points You Can Obtain from Cards,Medium,,100.0%,"Array, Sliding Window, Prefix Sum",more_than_6m
3576,https://leetcode.com/problems/transform-array-to-all-equal-elements,Transform Array to All Equal Elements,Medium,,97.3%,"Array, Greedy",more_than_6m
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,94.4%,"Array, Two Pointers, Greedy",more_than_6m
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,,91.1%,"Array, Binary Search",more_than_6m
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,,91.1%,"Array, Greedy",more_than_6m
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,87.4%,"Array, Breadth-First Search, Matrix",more_than_6m
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,83.1%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",more_than_6m
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,,83.1%,"Array, Stack, Monotonic Stack",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,78.0%,"Array, Hash Table",more_than_6m
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,78.0%,"Array, Binary Search",more_than_6m
1463,https://leetcode.com/problems/cherry-pickup-ii,Cherry Pickup II,Hard,,71.8%,"Array, Dynamic Programming, Matrix",more_than_6m
675,https://leetcode.com/problems/cut-off-trees-for-golf-event,Cut Off Trees for Golf Event,Hard,,71.8%,"Array, Breadth-First Search, Heap (Priority Queue), Matrix",more_than_6m
1190,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,Reverse Substrings Between Each Pair of Parentheses,Medium,,71.8%,"String, Stack",more_than_6m
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,,71.8%,"Array, Two Pointers",more_than_6m
907,https://leetcode.com/problems/sum-of-subarray-minimums,Sum of Subarray Minimums,Medium,,71.8%,"Array, Dynamic Programming, Stack, Monotonic Stack",more_than_6m
850,https://leetcode.com/problems/rectangle-area-ii,Rectangle Area II,Hard,,71.8%,"Array, Segment Tree, Sweep Line, Ordered Set",more_than_6m
749,https://leetcode.com/problems/contain-virus,Contain Virus,Hard,,71.8%,"Array, Depth-First Search, Breadth-First Search, Matrix, Simulation",more_than_6m
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,,63.9%,"Array, Binary Search",more_than_6m
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,,63.9%,"Array, Hash Table, Prefix Sum",more_than_6m
662,https://leetcode.com/problems/maximum-width-of-binary-tree,Maximum Width of Binary Tree,Medium,,63.9%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",more_than_6m
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,,63.9%,"Array, Stack, Simulation",more_than_6m
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,,63.9%,"String, Dynamic Programming",more_than_6m
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,,63.9%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",more_than_6m
321,https://leetcode.com/problems/create-maximum-number,Create Maximum Number,Hard,,63.9%,"Array, Two Pointers, Stack, Greedy, Monotonic Stack",more_than_6m
135,https://leetcode.com/problems/candy,Candy,Hard,,63.9%,"Array, Greedy",more_than_6m
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,,63.9%,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",more_than_6m
174,https://leetcode.com/problems/dungeon-game,Dungeon Game,Hard,,63.9%,"Array, Dynamic Programming, Matrix",more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,63.9%,"Array, Sorting",more_than_6m
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,,63.9%,"Array, Math, Matrix",more_than_6m
