ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,100.0%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",30_days
1823,https://leetcode.com/problems/find-the-winner-of-the-circular-game,Find the Winner of the Circular Game,Medium,,77.9%,"Array, Math, Recursion, Queue, Simulation",30_days
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,77.9%,"Hash Table, Linked List, Design, Doubly-Linked List",30_days
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,,77.9%,"Array, Hash Table, Linked List, Design, Hash Function",30_days
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,77.9%,"Hash Table, String, Sliding Window",30_days
1535,https://leetcode.com/problems/find-the-winner-of-an-array-game,Find the Winner of an Array Game,Medium,,77.9%,"Array, Simulation",30_days
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,100.0%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",3_months
1086,https://leetcode.com/problems/high-five,High Five,Easy,,71.8%,"Array, Hash Table, Sorting, Heap (Priority Queue)",3_months
166,https://leetcode.com/problems/fraction-to-recurring-decimal,Fraction to Recurring Decimal,Medium,,71.8%,"Hash Table, Math, String",3_months
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,,65.7%,"Array, Binary Search, Divide and Conquer",3_months
443,https://leetcode.com/problems/string-compression,String Compression,Medium,,65.7%,"Two Pointers, String",3_months
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,,57.0%,"Hash Table, String, Queue, Counting",3_months
657,https://leetcode.com/problems/robot-return-to-origin,Robot Return to Origin,Easy,,57.0%,"String, Simulation",3_months
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,57.0%,"Array, Two Pointers, Greedy",3_months
1823,https://leetcode.com/problems/find-the-winner-of-the-circular-game,Find the Winner of the Circular Game,Medium,,57.0%,"Array, Math, Recursion, Queue, Simulation",3_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,57.0%,"Hash Table, Linked List, Design, Doubly-Linked List",3_months
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,,57.0%,"Array, Hash Table, Linked List, Design, Hash Function",3_months
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,,57.0%,"Array, Stack, Monotonic Stack",3_months
2097,https://leetcode.com/problems/valid-arrangement-of-pairs,Valid Arrangement of Pairs,Hard,,57.0%,"Array, Depth-First Search, Graph Theory, Eulerian Circuit",3_months
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,57.0%,"Hash Table, String, Sliding Window",3_months
1535,https://leetcode.com/problems/find-the-winner-of-an-array-game,Find the Winner of an Array Game,Medium,,57.0%,"Array, Simulation",3_months
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,100.0%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",6_months
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,,78.7%,"Array, Binary Search, Divide and Conquer",6_months
1086,https://leetcode.com/problems/high-five,High Five,Easy,,76.2%,"Array, Hash Table, Sorting, Heap (Priority Queue)",6_months
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,73.4%,"Array, Two Pointers, Greedy",6_months
166,https://leetcode.com/problems/fraction-to-recurring-decimal,Fraction to Recurring Decimal,Medium,,73.4%,"Hash Table, Math, String",6_months
443,https://leetcode.com/problems/string-compression,String Compression,Medium,,73.4%,"Two Pointers, String",6_months
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,,70.2%,"Array, Dynamic Programming, Matrix",6_months
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,,66.4%,"Hash Table, String, Queue, Counting",6_months
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,61.8%,"Array, Sorting",6_months
1665,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks,Minimum Initial Energy to Finish Tasks,Hard,,61.8%,"Array, Greedy, Sorting",6_months
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,55.8%,"Array, Dynamic Programming",6_months
15,https://leetcode.com/problems/3sum,3Sum,Medium,,55.8%,"Array, Two Pointers, Sorting",6_months
657,https://leetcode.com/problems/robot-return-to-origin,Robot Return to Origin,Easy,,55.8%,"String, Simulation",6_months
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,,55.8%,"Math, Binary Search",6_months
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,55.8%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",6_months
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,,55.8%,"Array, Hash Table, Linked List, Design, Hash Function",6_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,55.8%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,55.8%,"Hash Table, String, Sliding Window",6_months
695,https://leetcode.com/problems/max-area-of-island,Max Area of Island,Medium,,47.4%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",6_months
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,47.4%,"Array, Divide and Conquer, Dynamic Programming",6_months
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,,47.4%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",6_months
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,,47.4%,"Hash Table, String, Sliding Window",6_months
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,47.4%,"Array, Hash Table, String, Sorting",6_months
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,47.4%,"Array, Binary Search",6_months
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,,47.4%,"Math, Dynamic Programming, Combinatorics",6_months
934,https://leetcode.com/problems/shortest-bridge,Shortest Bridge,Medium,,47.4%,"Array, Depth-First Search, Breadth-First Search, Matrix",6_months
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,,47.4%,"Hash Table, Math, String",6_months
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,,47.4%,"Array, Stack, Monotonic Stack",6_months
1823,https://leetcode.com/problems/find-the-winner-of-the-circular-game,Find the Winner of the Circular Game,Medium,,47.4%,"Array, Math, Recursion, Queue, Simulation",6_months
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,,47.4%,"Array, Dynamic Programming",6_months
2097,https://leetcode.com/problems/valid-arrangement-of-pairs,Valid Arrangement of Pairs,Hard,,47.4%,"Array, Depth-First Search, Graph Theory, Eulerian Circuit",6_months
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,,47.4%,"Array, Binary Search",6_months
