ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",30_days
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,72.7%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",30_days
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,68.2%,"Array, Dynamic Programming",30_days
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,,66.4%,Math,30_days
15,https://leetcode.com/problems/3sum,3Sum,Medium,,66.4%,"Array, Two Pointers, Sorting",30_days
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,,66.4%,Math,30_days
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,,64.4%,"Linked List, Math, Recursion",30_days
1929,https://leetcode.com/problems/concatenation-of-array,Concatenation of Array,Easy,,64.4%,"Array, Simulation",30_days
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,,62.3%,"Array, Binary Search, Divide and Conquer",30_days
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,62.3%,"Array, Divide and Conquer, Dynamic Programming",30_days
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,59.9%,"Two Pointers, String, Dynamic Programming",30_days
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,59.9%,"String, Stack",30_days
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,57.2%,"Hash Table, String, Sliding Window",30_days
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,,54.0%,"Hash Table, Math, String",30_days
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,,54.0%,"Array, Hash Table, Union-Find",30_days
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,,54.0%,"Array, Two Pointers",30_days
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,,54.0%,"Linked List, Recursion",30_days
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,,54.0%,"Array, Hash Table, Divide and Conquer, Sorting, Counting",30_days
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,,54.0%,"Array, Backtracking",30_days
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,,54.0%,"Math, Recursion",30_days
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,,50.3%,"Array, Matrix, Simulation",30_days
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,,50.3%,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",30_days
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,50.3%,"Array, Hash Table, String, Sorting",30_days
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,50.3%,"Array, Two Pointers, Greedy",30_days
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,,50.3%,"Math, Binary Search",30_days
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,,50.3%,"Array, Math, Two Pointers",30_days
,https://leetcode.com/problems/number-of-zigzag-arrays-i,Number of ZigZag Arrays I,Hard,,50.3%,"Dynamic Programming, Prefix Sum",30_days
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,45.8%,"Array, Two Pointers, Sorting",30_days
2667,https://leetcode.com/problems/create-hello-world-function,Create Hello World Function,Easy,,45.8%,,30_days
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,45.8%,"Array, Binary Search",30_days
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,,45.8%,"Hash Table, Design, Data Stream",30_days
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,,45.8%,"Array, String, Trie",30_days
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,,45.8%,"Array, Binary Search, Dynamic Programming",30_days
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,,45.8%,"Array, Math, Matrix",30_days
3161,https://leetcode.com/problems/block-placement-queries,Block Placement Queries,Hard,,45.8%,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set",30_days
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,,45.8%,"Array, Dynamic Programming, Breadth-First Search",30_days
102,https://leetcode.com/problems/binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,,45.8%,"Tree, Breadth-First Search, Binary Tree",30_days
,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-ii,Earliest Finish Time for Land and Water Rides II,Medium,,45.8%,"Array, Two Pointers, Binary Search, Greedy, Sorting",30_days
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,45.8%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",30_days
81,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,Search in Rotated Sorted Array II,Medium,,45.8%,"Array, Binary Search",30_days
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,,45.8%,"Array, Stack, Monotonic Stack",30_days
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,45.8%,"Math, Dynamic Programming, Memoization",30_days
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,,45.8%,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",30_days
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,,45.8%,Database,30_days
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,,45.8%,"Array, Hash Table",30_days
1344,https://leetcode.com/problems/angle-between-hands-of-a-clock,Angle Between Hands of a Clock,Medium,,45.8%,Math,30_days
1732,https://leetcode.com/problems/find-the-highest-altitude,Find the Highest Altitude,Easy,,45.8%,"Array, Prefix Sum",30_days
1757,https://leetcode.com/problems/recyclable-and-low-fat-products,Recyclable and Low Fat Products,Easy,,40.0%,Database,30_days
204,https://leetcode.com/problems/count-primes,Count Primes,Medium,,40.0%,"Array, Math, Enumeration, Number Theory",30_days
344,https://leetcode.com/problems/reverse-string,Reverse String,Easy,,40.0%,"Two Pointers, String",30_days
1768,https://leetcode.com/problems/merge-strings-alternately,Merge Strings Alternately,Easy,,40.0%,"Two Pointers, String",30_days
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,40.0%,"Hash Table, Linked List, Design, Doubly-Linked List",30_days
345,https://leetcode.com/problems/reverse-vowels-of-a-string,Reverse Vowels of a String,Easy,,40.0%,"Two Pointers, String",30_days
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,,40.0%,"Array, Dynamic Programming, Greedy",30_days
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,,40.0%,"Hash Table, String, Sorting",30_days
3043,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,Find the Length of the Longest Common Prefix,Medium,,40.0%,"Array, Hash Table, String, Trie",30_days
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,,40.0%,"Array, Hash Table, Prefix Sum",30_days
704,https://leetcode.com/problems/binary-search,Binary Search,Easy,,40.0%,"Array, Binary Search",30_days
416,https://leetcode.com/problems/partition-equal-subset-sum,Partition Equal Subset Sum,Medium,,40.0%,"Array, Dynamic Programming",30_days
8,https://leetcode.com/problems/string-to-integer-atoi,String to Integer (atoi),Medium,,40.0%,String,30_days
3121,https://leetcode.com/problems/count-the-number-of-special-characters-ii,Count the Number of Special Characters II,Medium,,40.0%,"Hash Table, String",30_days
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,,40.0%,"String, Dynamic Programming, Backtracking",30_days
,https://leetcode.com/problems/minimum-element-after-replacement-with-digit-sum,Minimum Element After Replacement With Digit Sum,Easy,,40.0%,"Array, Math",30_days
733,https://leetcode.com/problems/flood-fill,Flood Fill,Easy,,40.0%,"Array, Depth-First Search, Breadth-First Search, Matrix",30_days
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,,40.0%,"Hash Table, String, Sliding Window",30_days
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,,40.0%,"Array, Two Pointers, Sorting",30_days
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,,40.0%,"Two Pointers, String",30_days
1470,https://leetcode.com/problems/shuffle-the-array,Shuffle the Array,Easy,,40.0%,Array,30_days
912,https://leetcode.com/problems/sort-an-array,Sort an Array,Medium,,40.0%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Merge Sort, Bucket Sort, Radix Sort, Counting Sort",30_days
,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-i,Earliest Finish Time for Land and Water Rides I,Easy,,40.0%,"Array, Two Pointers, Binary Search, Greedy, Sorting",30_days
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,,40.0%,"Hash Table, String, Design, Trie",30_days
18,https://leetcode.com/problems/4sum,4Sum,Medium,,40.0%,"Array, Two Pointers, Sorting",30_days
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,,40.0%,"Array, Dynamic Programming",30_days
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,,40.0%,"Math, Dynamic Programming, Combinatorics",30_days
2574,https://leetcode.com/problems/left-and-right-sum-differences,Left and Right Sum Differences,Easy,,40.0%,"Array, Prefix Sum",30_days
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,,40.0%,"Hash Table, String, Backtracking",30_days
181,https://leetcode.com/problems/employees-earning-more-than-their-managers,Employees Earning More Than Their Managers,Easy,,40.0%,Database,30_days
509,https://leetcode.com/problems/fibonacci-number,Fibonacci Number,Easy,,40.0%,"Math, Dynamic Programming, Recursion, Memoization",30_days
503,https://leetcode.com/problems/next-greater-element-ii,Next Greater Element II,Medium,,40.0%,"Array, Stack, Monotonic Stack",30_days
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,,40.0%,"Stack, Design",30_days
,https://leetcode.com/problems/number-of-ways-to-assign-edge-weights-ii,Number of Ways to Assign Edge Weights II,Hard,,40.0%,"Array, Math, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search",30_days
1502,https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence,Can Make Arithmetic Progression From Sequence,Easy,,40.0%,"Array, Sorting",30_days
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,,40.0%,"Hash Table, String, Sliding Window",30_days
904,https://leetcode.com/problems/fruit-into-baskets,Fruit Into Baskets,Medium,,40.0%,"Array, Hash Table, Sliding Window",30_days
101,https://leetcode.com/problems/symmetric-tree,Symmetric Tree,Easy,,40.0%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",30_days
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,,40.0%,"Array, Two Pointers, Binary Search, Bit Manipulation",30_days
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,,40.0%,"Array, Binary Search",30_days
94,https://leetcode.com/problems/binary-tree-inorder-traversal,Binary Tree Inorder Traversal,Easy,,40.0%,"Stack, Tree, Depth-First Search, Binary Tree",30_days
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,,40.0%,"Linked List, Recursion",30_days
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,,32.0%,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",30_days
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,,32.0%,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",30_days
100,https://leetcode.com/problems/same-tree,Same Tree,Easy,,32.0%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",30_days
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,,32.0%,"Two Pointers, String",30_days
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,,32.0%,"Array, Hash Table, Two Pointers, Binary Search, Sorting",30_days
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,,32.0%,"Tree, Breadth-First Search, Binary Tree",30_days
743,https://leetcode.com/problems/network-delay-time,Network Delay Time,Medium,,32.0%,"Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path",30_days
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,,32.0%,"Array, Binary Search, Sliding Window, Prefix Sum",30_days
,https://leetcode.com/problems/total-waviness-of-numbers-in-range-ii,Total Waviness of Numbers in Range II,Hard,,32.0%,"Math, Dynamic Programming",30_days
35,https://leetcode.com/problems/search-insert-position,Search Insert Position,Easy,,32.0%,"Array, Binary Search",30_days
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,,32.0%,"Array, Hash Table, Math, Design, Randomized",30_days
240,https://leetcode.com/problems/search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,,32.0%,"Array, Binary Search, Divide and Conquer, Matrix",30_days
2196,https://leetcode.com/problems/create-binary-tree-from-descriptions,Create Binary Tree From Descriptions,Medium,,32.0%,"Array, Hash Table, Tree, Binary Tree",30_days
92,https://leetcode.com/problems/reverse-linked-list-ii,Reverse Linked List II,Medium,,32.0%,Linked List,30_days
2089,https://leetcode.com/problems/find-target-indices-after-sorting-array,Find Target Indices After Sorting Array,Easy,,32.0%,"Array, Binary Search, Sorting",30_days
2337,https://leetcode.com/problems/move-pieces-to-obtain-a-string,Move Pieces to Obtain a String,Medium,,32.0%,"Two Pointers, String",30_days
,https://leetcode.com/problems/maximum-total-subarray-value-i,Maximum Total Subarray Value I,Medium,,32.0%,"Array, Greedy",30_days
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,,32.0%,"String, Dynamic Programming, Recursion",30_days
24,https://leetcode.com/problems/swap-nodes-in-pairs,Swap Nodes in Pairs,Medium,,32.0%,"Linked List, Recursion",30_days
66,https://leetcode.com/problems/plus-one,Plus One,Easy,,32.0%,"Array, Math",30_days
130,https://leetcode.com/problems/surrounded-regions,Surrounded Regions,Medium,,32.0%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",30_days
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,,32.0%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",30_days
328,https://leetcode.com/problems/odd-even-linked-list,Odd Even Linked List,Medium,,32.0%,Linked List,30_days
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,,32.0%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",30_days
