ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,,100.0%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting",3_months
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,,100.0%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting",6_months
459,https://leetcode.com/problems/repeated-substring-pattern,Repeated Substring Pattern,Easy,,100.0%,"String, String Matching",6_months
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,,100.0%,"Array, Stack, Monotonic Stack",more_than_6m
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,,100.0%,"String, Stack",more_than_6m
198,https://leetcode.com/problems/house-robber,House Robber,Medium,,100.0%,"Array, Dynamic Programming",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,87.7%,"Array, Hash Table",more_than_6m
983,https://leetcode.com/problems/minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,,87.7%,"Array, Dynamic Programming",more_than_6m
1253,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,Reconstruct a 2-Row Binary Matrix,Medium,,87.7%,"Array, Greedy, Matrix",more_than_6m
1073,https://leetcode.com/problems/adding-two-negabinary-numbers,Adding Two Negabinary Numbers,Medium,,87.7%,"Array, Math",more_than_6m
2086,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,Minimum Number of Food Buckets to Feed the Hamsters,Medium,,87.7%,"String, Dynamic Programming, Greedy",more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,87.7%,"String, Stack",more_than_6m
1404,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,Number of Steps to Reduce a Number in Binary Representation to One,Medium,,87.7%,"String, Bit Manipulation, Simulation",more_than_6m
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,,87.7%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting",more_than_6m
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,,87.7%,"Array, Hash Table, Prefix Sum",more_than_6m
983,https://leetcode.com/problems/minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,,100.0%,"Array, Dynamic Programming",all
1073,https://leetcode.com/problems/adding-two-negabinary-numbers,Adding Two Negabinary Numbers,Medium,,100.0%,"Array, Math",all
2086,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,Minimum Number of Food Buckets to Feed the Hamsters,Medium,,100.0%,"String, Dynamic Programming, Greedy",all
1253,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,Reconstruct a 2-Row Binary Matrix,Medium,,100.0%,"Array, Greedy, Matrix",all
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,,78.3%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting",all
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,71.5%,"Array, Hash Table",all
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,,71.5%,"String, Stack",all
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,,71.5%,"Array, Stack, Monotonic Stack",all
198,https://leetcode.com/problems/house-robber,House Robber,Medium,,71.5%,"Array, Dynamic Programming",all
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,62.0%,"String, Stack",all
1404,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,Number of Steps to Reduce a Number in Binary Representation to One,Medium,,62.0%,"String, Bit Manipulation, Simulation",all
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,,62.0%,"Array, Hash Table, Prefix Sum",all
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,,62.0%,"Array, Dynamic Programming, Greedy",all
459,https://leetcode.com/problems/repeated-substring-pattern,Repeated Substring Pattern,Easy,,62.0%,"String, String Matching",all
