ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",more_than_6m
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,95.2%,"String, Stack, Recursion",more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,89.3%,"String, Stack",more_than_6m
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,89.3%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",more_than_6m
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,,89.3%,"String, Dynamic Programming, Backtracking",more_than_6m
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,,81.8%,"Array, Backtracking",more_than_6m
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,,81.8%,"Linked List, Recursion",more_than_6m
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,81.8%,"Two Pointers, String, Dynamic Programming",more_than_6m
679,https://leetcode.com/problems/24-game,24 Game,Hard,,71.1%,"Array, Math, Backtracking",more_than_6m
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,,71.1%,"Array, Stack, Monotonic Stack",more_than_6m
2617,https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid,Minimum Number of Visited Cells in a Grid,Hard,,71.1%,"Array, Dynamic Programming, Stack, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix, Monotonic Stack",more_than_6m
1702,https://leetcode.com/problems/maximum-binary-string-after-change,Maximum Binary String After Change,Medium,,71.1%,"String, Greedy",more_than_6m
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,,71.1%,"Array, String, Greedy, Sorting",more_than_6m
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,71.1%,"Array, Divide and Conquer, Dynamic Programming",more_than_6m
2617,https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid,Minimum Number of Visited Cells in a Grid,Hard,,100.0%,"Array, Dynamic Programming, Stack, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix, Monotonic Stack",all
1702,https://leetcode.com/problems/maximum-binary-string-after-change,Maximum Binary String After Change,Medium,,100.0%,"String, Greedy",all
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,91.4%,"Array, Hash Table",all
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,83.3%,"String, Stack",all
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,83.3%,"String, Stack, Recursion",all
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,77.9%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",all
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,,77.9%,"String, Dynamic Programming, Backtracking",all
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,,71.0%,"Array, Backtracking",all
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,,71.0%,"Linked List, Recursion",all
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,71.0%,"Two Pointers, String, Dynamic Programming",all
679,https://leetcode.com/problems/24-game,24 Game,Hard,,61.3%,"Array, Math, Backtracking",all
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,,61.3%,"Array, String, Greedy, Sorting",all
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,61.3%,"Array, Divide and Conquer, Dynamic Programming",all
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,,61.3%,"Array, Stack, Monotonic Stack",all
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,,61.3%,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",all
