ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,,100.0%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",more_than_6m
985,https://leetcode.com/problems/sum-of-even-numbers-after-queries,Sum of Even Numbers After Queries,Medium,,89.1%,"Array, Simulation",more_than_6m
453,https://leetcode.com/problems/minimum-moves-to-equal-array-elements,Minimum Moves to Equal Array Elements,Medium,,89.1%,"Array, Math",more_than_6m
2547,https://leetcode.com/problems/minimum-cost-to-split-an-array,Minimum Cost to Split an Array,Hard,,89.1%,"Array, Hash Table, Dynamic Programming, Counting",more_than_6m
2225,https://leetcode.com/problems/find-players-with-zero-or-one-losses,Find Players With Zero or One Losses,Medium,,89.1%,"Array, Hash Table, Sorting, Counting",more_than_6m
563,https://leetcode.com/problems/binary-tree-tilt,Binary Tree Tilt,Easy,,89.1%,"Tree, Depth-First Search, Binary Tree",more_than_6m
2133,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers,Check if Every Row and Column Contains All Numbers,Easy,,89.1%,"Array, Hash Table, Matrix",more_than_6m
985,https://leetcode.com/problems/sum-of-even-numbers-after-queries,Sum of Even Numbers After Queries,Medium,,100.0%,"Array, Simulation",all
563,https://leetcode.com/problems/binary-tree-tilt,Binary Tree Tilt,Easy,,100.0%,"Tree, Depth-First Search, Binary Tree",all
2547,https://leetcode.com/problems/minimum-cost-to-split-an-array,Minimum Cost to Split an Array,Hard,,100.0%,"Array, Hash Table, Dynamic Programming, Counting",all
2225,https://leetcode.com/problems/find-players-with-zero-or-one-losses,Find Players With Zero or One Losses,Medium,,100.0%,"Array, Hash Table, Sorting, Counting",all
453,https://leetcode.com/problems/minimum-moves-to-equal-array-elements,Minimum Moves to Equal Array Elements,Medium,,100.0%,"Array, Math",all
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,,79.3%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",all
2133,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers,Check if Every Row and Column Contains All Numbers,Easy,,72.8%,"Array, Hash Table, Matrix",all
