ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
3575,https://leetcode.com/problems/maximum-good-subtree-score,Maximum Good Subtree Score,Hard,,100.0%,"Array, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search, Bitmask",30_days
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,,68.5%,"Hash Table, String, Sorting",30_days
3575,https://leetcode.com/problems/maximum-good-subtree-score,Maximum Good Subtree Score,Hard,,100.0%,"Array, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search, Bitmask",3_months
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,65.8%,"Array, Two Pointers, Sorting",3_months
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,,65.8%,"Hash Table, String, Sorting",3_months
3467,https://leetcode.com/problems/transform-array-by-parity,Transform Array by Parity,Easy,,100.0%,"Array, Sorting, Counting",6_months
3449,https://leetcode.com/problems/maximize-the-minimum-game-score,Maximize the Minimum Game Score,Hard,,97.7%,"Array, Binary Search, Greedy",6_months
3575,https://leetcode.com/problems/maximum-good-subtree-score,Maximum Good Subtree Score,Hard,,97.7%,"Array, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search, Bitmask",6_months
3457,https://leetcode.com/problems/eat-pizzas,Eat Pizzas!,Medium,,97.7%,"Array, Greedy, Sorting",6_months
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,76.1%,"Array, Hash Table",6_months
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,69.3%,"Array, Sorting",6_months
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,69.3%,"Hash Table, String, Sliding Window",6_months
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,,69.3%,"Hash Table, String, Sorting",6_months
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,,59.7%,Database,6_months
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,,59.7%,"Array, Math, Matrix",6_months
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,,59.7%,"String, Dynamic Programming, Backtracking",6_months
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,59.7%,"Array, Two Pointers, Sorting",6_months
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,,59.7%,"Array, Hash Table, Matrix",6_months
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,59.7%,"Array, Two Pointers",6_months
