ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,100.0%,"String, Stack",3_months
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,,100.0%,"Array, Dynamic Programming, Breadth-First Search",3_months
66,https://leetcode.com/problems/plus-one,Plus One,Easy,,100.0%,"Array, Math",6_months
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,95.5%,"String, Stack",6_months
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,,83.0%,"Array, Dynamic Programming, Breadth-First Search",6_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,73.1%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
1760,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag,Minimum Limit of Balls in a Bag,Medium,,73.1%,"Array, Binary Search",6_months
628,https://leetcode.com/problems/maximum-product-of-three-numbers,Maximum Product of Three Numbers,Easy,,73.1%,"Array, Math, Sorting",6_months
354,https://leetcode.com/problems/russian-doll-envelopes,Russian Doll Envelopes,Hard,,73.1%,"Array, Binary Search, Dynamic Programming, Sorting",6_months
759,https://leetcode.com/problems/employee-free-time,Employee Free Time,Hard,,73.1%,"Array, Line Sweep, Sorting, Heap (Priority Queue)",6_months
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard,,100.0%,"Array, Dynamic Programming, Greedy",more_than_6m
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,,93.6%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",more_than_6m
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,84.8%,"Hash Table, Linked List, Design, Doubly-Linked List",more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,84.8%,"String, Stack",more_than_6m
37,https://leetcode.com/problems/sudoku-solver,Sudoku Solver,Hard,,82.0%,"Array, Hash Table, Backtracking, Matrix",more_than_6m
