ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
52,https://leetcode.com/problems/n-queens-ii,N-Queens II,Hard,,100.0%,Backtracking,3_months
498,https://leetcode.com/problems/diagonal-traverse,Diagonal Traverse,Medium,,95.2%,"Array, Matrix, Simulation",3_months
1424,https://leetcode.com/problems/diagonal-traverse-ii,Diagonal Traverse II,Medium,,80.2%,"Array, Sorting, Heap (Priority Queue)",3_months
52,https://leetcode.com/problems/n-queens-ii,N-Queens II,Hard,,100.0%,Backtracking,6_months
498,https://leetcode.com/problems/diagonal-traverse,Diagonal Traverse,Medium,,95.2%,"Array, Matrix, Simulation",6_months
1424,https://leetcode.com/problems/diagonal-traverse-ii,Diagonal Traverse II,Medium,,80.2%,"Array, Sorting, Heap (Priority Queue)",6_months
498,https://leetcode.com/problems/diagonal-traverse,Diagonal Traverse,Medium,,100.0%,"Array, Matrix, Simulation",more_than_6m
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,,96.2%,"Array, Math, Binary Search, Prefix Sum, Randomized",more_than_6m
498,https://leetcode.com/problems/diagonal-traverse,Diagonal Traverse,Medium,,100.0%,"Array, Matrix, Simulation",all
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,,89.7%,"Array, Math, Binary Search, Prefix Sum, Randomized",all
52,https://leetcode.com/problems/n-queens-ii,N-Queens II,Hard,,86.0%,Backtracking,all
1424,https://leetcode.com/problems/diagonal-traverse-ii,Diagonal Traverse II,Medium,,75.7%,"Array, Sorting, Heap (Priority Queue)",all
