ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
716,https://leetcode.com/problems/max-stack,Max Stack,Hard,,100.0%,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set",30_days
432,https://leetcode.com/problems/all-oone-data-structure,All O`one Data Structure,Hard,,93.9%,"Hash Table, Linked List, Design, Doubly-Linked List",30_days
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,,76.7%,"Array, Binary Search, Sliding Window, Prefix Sum",30_days
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,,70.6%,"Hash Table, String, Breadth-First Search",30_days
364,https://leetcode.com/problems/nested-list-weight-sum-ii,Nested List Weight Sum II,Medium,,62.0%,"Stack, Depth-First Search, Breadth-First Search",30_days
2040,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays,Kth Smallest Product of Two Sorted Arrays,Hard,,62.0%,"Array, Binary Search",30_days
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,,62.0%,"Hash Table, String, Backtracking",30_days
1882,https://leetcode.com/problems/process-tasks-using-servers,Process Tasks Using Servers,Medium,,62.0%,"Array, Heap (Priority Queue)",30_days
272,https://leetcode.com/problems/closest-binary-search-tree-value-ii,Closest Binary Search Tree Value II,Hard,,62.0%,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree",30_days
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,,62.0%,"Array, Hash Table, Math, Design, Randomized",30_days
716,https://leetcode.com/problems/max-stack,Max Stack,Hard,,100.0%,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set",3_months
432,https://leetcode.com/problems/all-oone-data-structure,All O`one Data Structure,Hard,,94.6%,"Hash Table, Linked List, Design, Doubly-Linked List",3_months
364,https://leetcode.com/problems/nested-list-weight-sum-ii,Nested List Weight Sum II,Medium,,82.6%,"Stack, Depth-First Search, Breadth-First Search",3_months
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,,82.6%,"Array, Binary Search, Sliding Window, Prefix Sum",3_months
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,,79.9%,"Math, Recursion",3_months
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,,78.4%,"Hash Table, String, Breadth-First Search",3_months
360,https://leetcode.com/problems/sort-transformed-array,Sort Transformed Array,Medium,,73.2%,"Array, Math, Two Pointers, Sorting",3_months
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,,68.7%,"Array, Hash Table, Math, Design, Randomized",3_months
339,https://leetcode.com/problems/nested-list-weight-sum,Nested List Weight Sum,Medium,,66.0%,"Depth-First Search, Breadth-First Search",3_months
277,https://leetcode.com/problems/find-the-celebrity,Find the Celebrity,Medium,,66.0%,"Two Pointers, Graph, Interactive",3_months
366,https://leetcode.com/problems/find-leaves-of-binary-tree,Find Leaves of Binary Tree,Medium,,66.0%,"Tree, Depth-First Search, Binary Tree",3_months
272,https://leetcode.com/problems/closest-binary-search-tree-value-ii,Closest Binary Search Tree Value II,Hard,,62.9%,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree",3_months
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,62.9%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",3_months
244,https://leetcode.com/problems/shortest-word-distance-ii,Shortest Word Distance II,Medium,,62.9%,"Array, Hash Table, Two Pointers, String, Design",3_months
156,https://leetcode.com/problems/binary-tree-upside-down,Binary Tree Upside Down,Medium,,59.2%,"Tree, Depth-First Search, Binary Tree",3_months
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,,59.2%,"String, Dynamic Programming, Stack",3_months
516,https://leetcode.com/problems/longest-palindromic-subsequence,Longest Palindromic Subsequence,Medium,,59.2%,"String, Dynamic Programming",3_months
636,https://leetcode.com/problems/exclusive-time-of-functions,Exclusive Time of Functions,Medium,,59.2%,"Array, Stack",3_months
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,54.8%,"String, Stack",3_months
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,,54.8%,"Hash Table, String, Backtracking",3_months
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,,54.8%,"Array, Greedy",3_months
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,,54.8%,"Array, Binary Search",3_months
256,https://leetcode.com/problems/paint-house,Paint House,Medium,,54.8%,"Array, Dynamic Programming",3_months
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,,54.8%,"Hash Table, String, Sliding Window",3_months
2276,https://leetcode.com/problems/count-integers-in-intervals,Count Integers in Intervals,Hard,,54.8%,"Design, Segment Tree, Ordered Set",3_months
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,,49.0%,"String, Dynamic Programming",3_months
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,,49.0%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting",3_months
658,https://leetcode.com/problems/find-k-closest-elements,Find K Closest Elements,Medium,,49.0%,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)",3_months
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,,49.0%,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",3_months
265,https://leetcode.com/problems/paint-house-ii,Paint House II,Hard,,49.0%,"Array, Dynamic Programming",3_months
1882,https://leetcode.com/problems/process-tasks-using-servers,Process Tasks Using Servers,Medium,,49.0%,"Array, Heap (Priority Queue)",3_months
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,49.0%,"Array, Divide and Conquer, Dynamic Programming",3_months
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,,49.0%,"Array, Dynamic Programming",3_months
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,,49.0%,"Stack, Tree, Depth-First Search, Design, Queue, Iterator",3_months
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,49.0%,"Array, Binary Search",3_months
373,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,Find K Pairs with Smallest Sums,Medium,,49.0%,"Array, Heap (Priority Queue)",3_months
698,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,Partition to K Equal Sum Subsets,Medium,,49.0%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask",3_months
319,https://leetcode.com/problems/bulb-switcher,Bulb Switcher,Medium,,40.9%,"Math, Brainteaser",3_months
254,https://leetcode.com/problems/factor-combinations,Factor Combinations,Medium,,40.9%,Backtracking,3_months
235,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Lowest Common Ancestor of a Binary Search Tree,Medium,,40.9%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",3_months
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,,40.9%,"Array, Backtracking",3_months
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,,40.9%,"Hash Table, String",3_months
261,https://leetcode.com/problems/graph-valid-tree,Graph Valid Tree,Medium,,40.9%,"Depth-First Search, Breadth-First Search, Union Find, Graph",3_months
126,https://leetcode.com/problems/word-ladder-ii,Word Ladder II,Hard,,40.9%,"Hash Table, String, Backtracking, Breadth-First Search",3_months
101,https://leetcode.com/problems/symmetric-tree,Symmetric Tree,Easy,,40.9%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",3_months
