ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,,100.0%,"Array, Hash Table",more_than_6m
787,https://leetcode.com/problems/cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,Medium,,85.6%,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path",more_than_6m
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,78.1%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",more_than_6m
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,,78.1%,"Array, Dynamic Programming, Greedy",more_than_6m
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,,78.1%,"Hash Table, String, Sliding Window",more_than_6m
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,,67.7%,"Linked List, Recursion",more_than_6m
2368,https://leetcode.com/problems/reachable-nodes-with-restrictions,Reachable Nodes With Restrictions,Medium,,67.7%,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search, Union Find, Graph",more_than_6m
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,,67.7%,"String, Dynamic Programming, Stack",more_than_6m
79,https://leetcode.com/problems/word-search,Word Search,Medium,,67.7%,"Array, String, Backtracking, Depth-First Search, Matrix",more_than_6m
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,67.7%,"Two Pointers, String, Dynamic Programming",more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,67.7%,"Array, Sorting",more_than_6m
2958,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,Length of Longest Subarray With at Most K Frequency,Medium,,67.7%,"Array, Hash Table, Sliding Window",more_than_6m
1714,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array,Sum Of Special Evenly-Spaced Elements In Array,Hard,,67.7%,"Array, Dynamic Programming",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,67.7%,"Hash Table, String, Sliding Window",more_than_6m
2370,https://leetcode.com/problems/longest-ideal-subsequence,Longest Ideal Subsequence,Medium,,67.7%,"Hash Table, String, Dynamic Programming",more_than_6m
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,,67.7%,"Array, Binary Search",more_than_6m
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,,67.7%,"String, Dynamic Programming, Backtracking",more_than_6m
334,https://leetcode.com/problems/increasing-triplet-subsequence,Increasing Triplet Subsequence,Medium,,67.7%,"Array, Greedy",more_than_6m
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,,67.7%,"Array, Prefix Sum",more_than_6m
