ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
968,https://leetcode.com/problems/binary-tree-cameras,Binary Tree Cameras,Hard,,100.0%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",3_months
1648,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,Sell Diminishing-Valued Colored Balls,Medium,,100.0%,"Array, Math, Binary Search, Greedy, Sorting, Heap (Priority Queue)",3_months
638,https://leetcode.com/problems/shopping-offers,Shopping Offers,Medium,,100.0%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask",3_months
968,https://leetcode.com/problems/binary-tree-cameras,Binary Tree Cameras,Hard,,100.0%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",6_months
1648,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,Sell Diminishing-Valued Colored Balls,Medium,,100.0%,"Array, Math, Binary Search, Greedy, Sorting, Heap (Priority Queue)",6_months
638,https://leetcode.com/problems/shopping-offers,Shopping Offers,Medium,,100.0%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask",6_months
2582,https://leetcode.com/problems/pass-the-pillow,Pass the Pillow,Easy,,65.2%,"Math, Simulation",6_months
2444,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,Count Subarrays With Fixed Bounds,Hard,,65.2%,"Array, Queue, Sliding Window, Monotonic Queue",6_months
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,Minimum Edge Reversals So Every Node Is Reachable,Hard,,65.2%,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph",6_months
2964,https://leetcode.com/problems/number-of-divisible-triplet-sums,Number of Divisible Triplet Sums,Medium,,65.2%,"Array, Hash Table",6_months
2444,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,Count Subarrays With Fixed Bounds,Hard,,100.0%,"Array, Queue, Sliding Window, Monotonic Queue",more_than_6m
2851,https://leetcode.com/problems/string-transformation,String Transformation,Hard,,81.1%,"Math, String, Dynamic Programming, String Matching",more_than_6m
2861,https://leetcode.com/problems/maximum-number-of-alloys,Maximum Number of Alloys,Medium,,81.1%,"Array, Binary Search",more_than_6m
2582,https://leetcode.com/problems/pass-the-pillow,Pass the Pillow,Easy,,77.0%,"Math, Simulation",more_than_6m
2462,https://leetcode.com/problems/total-cost-to-hire-k-workers,Total Cost to Hire K Workers,Medium,,65.6%,"Array, Two Pointers, Heap (Priority Queue), Simulation",more_than_6m
566,https://leetcode.com/problems/reshape-the-matrix,Reshape the Matrix,Easy,,65.6%,"Array, Matrix, Simulation",more_than_6m
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,,65.6%,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting",more_than_6m
834,https://leetcode.com/problems/sum-of-distances-in-tree,Sum of Distances in Tree,Hard,,65.6%,"Dynamic Programming, Tree, Depth-First Search, Graph",more_than_6m
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,,65.6%,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",more_than_6m
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,Minimum Edge Reversals So Every Node Is Reachable,Hard,,65.6%,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph",more_than_6m
115,https://leetcode.com/problems/distinct-subsequences,Distinct Subsequences,Hard,,56.6%,"String, Dynamic Programming",more_than_6m
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,,56.6%,"Linked List, Recursion",more_than_6m
3048,https://leetcode.com/problems/earliest-second-to-mark-indices-i,Earliest Second to Mark Indices I,Medium,,56.6%,"Array, Binary Search",more_than_6m
3049,https://leetcode.com/problems/earliest-second-to-mark-indices-ii,Earliest Second to Mark Indices II,Hard,,56.6%,"Array, Binary Search, Greedy, Heap (Priority Queue)",more_than_6m
526,https://leetcode.com/problems/beautiful-arrangement,Beautiful Arrangement,Medium,,56.6%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",more_than_6m
3035,https://leetcode.com/problems/maximum-palindromes-after-operations,Maximum Palindromes After Operations,Medium,,56.6%,"Array, Hash Table, String, Greedy, Sorting, Counting",more_than_6m
500,https://leetcode.com/problems/keyboard-row,Keyboard Row,Easy,,56.6%,"Array, Hash Table, String",more_than_6m
1163,https://leetcode.com/problems/last-substring-in-lexicographical-order,Last Substring in Lexicographical Order,Hard,,56.6%,"Two Pointers, String",more_than_6m
2514,https://leetcode.com/problems/count-anagrams,Count Anagrams,Hard,,56.6%,"Hash Table, Math, String, Combinatorics, Counting",more_than_6m
1130,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,Minimum Cost Tree From Leaf Values,Medium,,56.6%,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack",more_than_6m
2038,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,Remove Colored Pieces if Both Neighbors are the Same Color,Medium,,56.6%,"Math, String, Greedy, Game Theory",more_than_6m
1290,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,Convert Binary Number in a Linked List to Integer,Easy,,56.6%,"Linked List, Math",more_than_6m
2444,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,Count Subarrays With Fixed Bounds,Hard,,100.0%,"Array, Queue, Sliding Window, Monotonic Queue",all
2861,https://leetcode.com/problems/maximum-number-of-alloys,Maximum Number of Alloys,Medium,,98.5%,"Array, Binary Search",all
1648,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,Sell Diminishing-Valued Colored Balls,Medium,,91.2%,"Array, Math, Binary Search, Greedy, Sorting, Heap (Priority Queue)",all
566,https://leetcode.com/problems/reshape-the-matrix,Reshape the Matrix,Easy,,91.2%,"Array, Matrix, Simulation",all
