ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1938,https://leetcode.com/problems/maximum-genetic-difference-query,Maximum Genetic Difference Query,Hard,,87.5%,,all
1959,https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations,Minimum Total Space Wasted With K Resizing Operations,Medium,,100.0%,,all
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,75.0%,,all
2473,https://leetcode.com/problems/minimum-cost-to-buy-apples,Minimum Cost to Buy Apples,Medium,,87.5%,,all
2479,https://leetcode.com/problems/maximum-xor-of-two-non-overlapping-subtrees,Maximum XOR of Two Non-Overlapping Subtrees,Hard,,87.5%,,all
2538,https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum,Difference Between Maximum and Minimum Price Sum,Hard,,100.0%,,all
2852,https://leetcode.com/problems/sum-of-remoteness-of-all-cells,Sum of Remoteness of All Cells,Medium,,87.5%,,all
2874,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-ii,Maximum Value of an Ordered Triplet II,Medium,,87.5%,,all
2873,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-i,Maximum Value of an Ordered Triplet I,Easy,,87.5%,,all
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,50.0%,,all
2572,https://leetcode.com/problems/count-the-number-of-square-free-subsets,Count the Number of Square-Free Subsets,Medium,,100.0%,,all
1642,https://leetcode.com/problems/furthest-building-you-can-reach,Furthest Building You Can Reach,Medium,,87.5%,,all
1222,https://leetcode.com/problems/queens-that-can-attack-the-king,Queens That Can Attack the King,Medium,,87.5%,,all
1266,https://leetcode.com/problems/minimum-time-visiting-all-points,Minimum Time Visiting All Points,Easy,,87.5%,,all
1787,https://leetcode.com/problems/make-the-xor-of-all-segments-equal-to-zero,Make the XOR of All Segments Equal to Zero,Hard,,87.5%,,all
1879,https://leetcode.com/problems/minimum-xor-sum-of-two-arrays,Minimum XOR Sum of Two Arrays,Hard,,87.5%,,all
2835,https://leetcode.com/problems/minimum-operations-to-form-subsequence-with-target-sum,Minimum Operations to Form Subsequence With Target Sum,Hard,,87.5%,,all
2382,https://leetcode.com/problems/maximum-segment-sum-after-removals,Maximum Segment Sum After Removals,Hard,,62.5%,,all
407,https://leetcode.com/problems/trapping-rain-water-ii,Trapping Rain Water II,Hard,,100.0%,,all
1376,https://leetcode.com/problems/time-needed-to-inform-all-employees,Time Needed to Inform All Employees,Medium,,50.0%,,all
668,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,Kth Smallest Number in Multiplication Table,Hard,,62.5%,,all
354,https://leetcode.com/problems/russian-doll-envelopes,Russian Doll Envelopes,Hard,,87.5%,,all
2945,https://leetcode.com/problems/find-maximum-non-decreasing-array-length,Find Maximum Non-decreasing Array Length,Hard,,62.5%,,all
406,https://leetcode.com/problems/queue-reconstruction-by-height,Queue Reconstruction by Height,Medium,,50.0%,,all
947,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,Most Stones Removed with Same Row or Column,Medium,,75.0%,,all
1994,https://leetcode.com/problems/the-number-of-good-subsets,The Number of Good Subsets,Hard,,50.0%,,all
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,,50.0%,,all
3660,https://leetcode.com/problems/jump-game-ix,Jump Game IX,Medium,,87.5%,,all
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,,50.0%,,all
3291,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-i,Minimum Number of Valid Strings to Form Target I,Medium,,62.5%,,all
99,https://leetcode.com/problems/recover-binary-search-tree,Recover Binary Search Tree,Medium,,50.0%,,all
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,,50.0%,,all
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,62.5%,,all
