ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1249,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,Minimum Remove to Make Valid Parentheses,Medium,,100.0%,"String, Stack",30_days
408,https://leetcode.com/problems/valid-word-abbreviation,Valid Word Abbreviation,Easy,,95.4%,"Two Pointers, String",30_days
314,https://leetcode.com/problems/binary-tree-vertical-order-traversal,Binary Tree Vertical Order Traversal,Medium,,93.4%,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree",30_days
680,https://leetcode.com/problems/valid-palindrome-ii,Valid Palindrome II,Easy,,92.7%,"Two Pointers, String, Greedy",30_days
1650,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,Lowest Common Ancestor of a Binary Tree III,Medium,,89.6%,"Hash Table, Two Pointers, Tree, Binary Tree",30_days
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,,86.9%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",30_days
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,,86.0%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",30_days
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,,84.0%,"Math, String, Stack",30_days
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,,82.9%,"Tree, Depth-First Search, Binary Tree",30_days
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,,82.9%,"Array, Binary Search",30_days
339,https://leetcode.com/problems/nested-list-weight-sum,Nested List Weight Sum,Medium,,81.7%,"Depth-First Search, Breadth-First Search",30_days
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,,80.5%,"Array, Math, Binary Search, Prefix Sum, Randomized",30_days
129,https://leetcode.com/problems/sum-root-to-leaf-numbers,Sum Root to Leaf Numbers,Medium,,80.5%,"Tree, Depth-First Search, Binary Tree",30_days
543,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,Easy,,79.2%,"Tree, Depth-First Search, Binary Tree",30_days
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,,77.9%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",30_days
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,77.9%,"Array, Sorting",30_days
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,76.4%,"Array, Hash Table",30_days
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,76.4%,"Array, Dynamic Programming",30_days
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,,76.4%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",30_days
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,74.9%,"String, Stack",30_days
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,,74.9%,"Math, Recursion",30_days
1762,https://leetcode.com/problems/buildings-with-an-ocean-view,Buildings With an Ocean View,Medium,,74.9%,"Array, Stack, Monotonic Stack",30_days
791,https://leetcode.com/problems/custom-sort-string,Custom Sort String,Medium,,73.2%,"Hash Table, String, Sorting",30_days
973,https://leetcode.com/problems/k-closest-points-to-origin,K Closest Points to Origin,Medium,,71.4%,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect",30_days
133,https://leetcode.com/problems/clone-graph,Clone Graph,Medium,,71.4%,"Hash Table, Depth-First Search, Breadth-First Search, Graph",30_days
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,,71.4%,"Array, Hash Table, Prefix Sum",30_days
938,https://leetcode.com/problems/range-sum-of-bst,Range Sum of BST,Easy,,69.5%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",30_days
1570,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,Dot Product of Two Sparse Vectors,Medium,,69.5%,"Array, Hash Table, Two Pointers, Design",30_days
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,,69.5%,"Two Pointers, String",30_days
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,,67.4%,"Array, Two Pointers",30_days
1091,https://leetcode.com/problems/shortest-path-in-binary-matrix,Shortest Path in Binary Matrix,Medium,,67.4%,"Array, Breadth-First Search, Matrix",30_days
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,,67.4%,"Hash Table, Linked List",30_days
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,67.4%,"Array, Two Pointers, Sorting",30_days
480,https://leetcode.com/problems/sliding-window-median,Sliding Window Median,Hard,,65.0%,"Array, Hash Table, Sliding Window, Heap (Priority Queue)",30_days
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,,65.0%,"String, Stack",30_days
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,,65.0%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",30_days
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,,62.4%,"Hash Table, String, Sliding Window",30_days
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,,62.4%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting",30_days
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,62.4%,"Hash Table, Linked List, Design, Doubly-Linked List",30_days
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,,62.4%,"Array, Binary Search, Sliding Window, Prefix Sum",30_days
1539,https://leetcode.com/problems/kth-missing-positive-number,Kth Missing Positive Number,Easy,,59.4%,"Array, Binary Search",30_days
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,,59.4%,"Array, Binary Search",30_days
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,,59.4%,"String, Trie",30_days
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,,59.4%,"Array, Two Pointers, Sorting",30_days
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,,56.0%,"Linked List, Two Pointers",30_days
498,https://leetcode.com/problems/diagonal-traverse,Diagonal Traverse,Medium,,56.0%,"Array, Matrix, Simulation",30_days
163,https://leetcode.com/problems/missing-ranges,Missing Ranges,Easy,,56.0%,Array,30_days
346,https://leetcode.com/problems/moving-average-from-data-stream,Moving Average from Data Stream,Easy,,56.0%,"Array, Design, Queue, Data Stream",30_days
636,https://leetcode.com/problems/exclusive-time-of-functions,Exclusive Time of Functions,Medium,,56.0%,"Array, Stack",30_days
415,https://leetcode.com/problems/add-strings,Add Strings,Easy,,51.9%,"Math, String, Simulation",30_days
173,https://leetcode.com/problems/binary-search-tree-iterator,Binary Search Tree Iterator,Medium,,51.9%,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator",30_days
921,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,Minimum Add to Make Parentheses Valid,Medium,,51.9%,"String, Stack, Greedy",30_days
489,https://leetcode.com/problems/robot-room-cleaner,Robot Room Cleaner,Hard,,51.9%,"Backtracking, Interactive",30_days
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,,47.0%,"Linked List, Math, Recursion",30_days
78,https://leetcode.com/problems/subsets,Subsets,Medium,,47.0%,"Array, Backtracking, Bit Manipulation",30_days
301,https://leetcode.com/problems/remove-invalid-parentheses,Remove Invalid Parentheses,Hard,,47.0%,"String, Backtracking, Breadth-First Search",30_days
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,,47.0%,"Two Pointers, String, Dynamic Programming",30_days
65,https://leetcode.com/problems/valid-number,Valid Number,Hard,,47.0%,String,30_days
