ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",30_days
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,71.5%,"Hash Table, String, Sliding Window",30_days
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,71.5%,"Two Pointers, String, Dynamic Programming",30_days
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,,66.3%,"Array, Binary Search, Divide and Conquer",30_days
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,66.3%,"Array, Binary Search",30_days
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,66.3%,"Array, Two Pointers, Greedy",30_days
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,59.7%,"Array, Hash Table, String, Sorting",30_days
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,Minimum Edge Reversals So Every Node Is Reachable,Hard,,59.7%,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph",30_days
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,,59.7%,"Hash Table, Math, String",30_days
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,,59.7%,"Array, Binary Search",30_days
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,59.7%,"Math, Dynamic Programming, Memoization",30_days
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,59.7%,"Array, Dynamic Programming",30_days
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,59.7%,"Array, Two Pointers",30_days
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,,59.7%,"Array, Stack, Monotonic Stack",30_days
440,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,K-th Smallest in Lexicographical Order,Hard,,59.7%,Trie,30_days
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,,59.7%,"Array, Dynamic Programming, Greedy",30_days
485,https://leetcode.com/problems/max-consecutive-ones,Max Consecutive Ones,Easy,,59.7%,Array,30_days
209,https://leetcode.com/problems/minimum-size-subarray-sum,Minimum Size Subarray Sum,Medium,,59.7%,"Array, Binary Search, Sliding Window, Prefix Sum",30_days
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,,50.3%,"Array, Greedy",30_days
