ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
2008,https://leetcode.com/problems/maximum-earnings-from-taxi,Maximum Earnings From Taxi,Medium,,100.0%,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting",more_than_6m
459,https://leetcode.com/problems/repeated-substring-pattern,Repeated Substring Pattern,Easy,,100.0%,"String, String Matching",more_than_6m
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,,100.0%,"Array, Hash Table",more_than_6m
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,100.0%,"Array, Breadth-First Search, Matrix",more_than_6m
1302,https://leetcode.com/problems/deepest-leaves-sum,Deepest Leaves Sum,Medium,,100.0%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",more_than_6m
724,https://leetcode.com/problems/find-pivot-index,Find Pivot Index,Easy,,100.0%,"Array, Prefix Sum",more_than_6m
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,,86.6%,"Array, Stack, Simulation",more_than_6m
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,,86.6%,"Array, String, Greedy, Sorting",more_than_6m
15,https://leetcode.com/problems/3sum,3Sum,Medium,,86.6%,"Array, Two Pointers, Sorting",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,86.6%,"Array, Dynamic Programming",more_than_6m
280,https://leetcode.com/problems/wiggle-sort,Wiggle Sort,Medium,,86.6%,"Array, Greedy, Sorting",more_than_6m
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,,86.6%,"Array, Stack, Monotonic Stack",more_than_6m
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,,86.6%,"Array, Two Pointers",more_than_6m
494,https://leetcode.com/problems/target-sum,Target Sum,Medium,,86.6%,"Array, Dynamic Programming, Backtracking",more_than_6m
462,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii,Minimum Moves to Equal Array Elements II,Medium,,86.6%,"Array, Math, Sorting",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,86.6%,"Hash Table, String, Sliding Window",more_than_6m
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,86.6%,"Array, Two Pointers, Greedy",more_than_6m
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,,86.6%,"String, Dynamic Programming, Backtracking",more_than_6m
2008,https://leetcode.com/problems/maximum-earnings-from-taxi,Maximum Earnings From Taxi,Medium,,100.0%,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting",all
459,https://leetcode.com/problems/repeated-substring-pattern,Repeated Substring Pattern,Easy,,69.3%,"String, String Matching",all
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,69.3%,"Array, Dynamic Programming",all
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,,69.3%,"Array, Stack, Monotonic Stack",all
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,,69.3%,"Array, Hash Table",all
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,69.3%,"Array, Breadth-First Search, Matrix",all
494,https://leetcode.com/problems/target-sum,Target Sum,Medium,,69.3%,"Array, Dynamic Programming, Backtracking",all
1302,https://leetcode.com/problems/deepest-leaves-sum,Deepest Leaves Sum,Medium,,69.3%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",all
724,https://leetcode.com/problems/find-pivot-index,Find Pivot Index,Easy,,69.3%,"Array, Prefix Sum",all
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,,59.7%,"Array, Stack, Simulation",all
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,,59.7%,"Array, String, Greedy, Sorting",all
15,https://leetcode.com/problems/3sum,3Sum,Medium,,59.7%,"Array, Two Pointers, Sorting",all
280,https://leetcode.com/problems/wiggle-sort,Wiggle Sort,Medium,,59.7%,"Array, Greedy, Sorting",all
462,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii,Minimum Moves to Equal Array Elements II,Medium,,59.7%,"Array, Math, Sorting",all
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,59.7%,"Array, Two Pointers, Greedy",all
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,,59.7%,"Array, Two Pointers",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,59.7%,"Hash Table, String, Sliding Window",all
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,,59.7%,"String, Dynamic Programming, Backtracking",all
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,,59.7%,"Array, Hash Table, Union-Find",all
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,,59.7%,"Array, Binary Search",all
