ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",3_months
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",6_months
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,100.0%,"Array, Two Pointers",more_than_6m
437,https://leetcode.com/problems/path-sum-iii,Path Sum III,Medium,,87.7%,"Tree, Depth-First Search, Binary Tree",more_than_6m
423,https://leetcode.com/problems/reconstruct-original-digits-from-english,Reconstruct Original Digits from English,Medium,,87.7%,"Hash Table, Math, String",more_than_6m
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,87.7%,"Array, Hash Table, String, Sorting",more_than_6m
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,,87.7%,"Array, Matrix, Simulation",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,87.7%,"Array, Hash Table",more_than_6m
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,,87.7%,"String, Dynamic Programming",more_than_6m
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,,87.7%,"Array, Backtracking",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",all
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,79.0%,"Array, Two Pointers",all
437,https://leetcode.com/problems/path-sum-iii,Path Sum III,Medium,,68.9%,"Tree, Depth-First Search, Binary Tree",all
423,https://leetcode.com/problems/reconstruct-original-digits-from-english,Reconstruct Original Digits from English,Medium,,68.9%,"Hash Table, Math, String",all
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,68.9%,"Array, Hash Table, String, Sorting",all
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,,68.9%,"Array, Matrix, Simulation",all
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,,68.9%,"String, Dynamic Programming",all
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,,68.9%,"Array, Backtracking",all
1124,https://leetcode.com/problems/longest-well-performing-interval,Longest Well-Performing Interval,Medium,,68.9%,"Array, Hash Table, Stack, Monotonic Stack, Prefix Sum",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,68.9%,"Hash Table, String, Sliding Window",all
