ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
743,https://leetcode.com/problems/network-delay-time,Network Delay Time,Medium,,100.0%,"Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path",3_months
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,100.0%,"Array, Hash Table, String, Sorting",3_months
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,,100.0%,"String, Backtracking",3_months
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,,100.0%,"Array, Binary Search",3_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,100.0%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,94.9%,"Hash Table, String, Sliding Window",6_months
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,,88.7%,"String, Backtracking",6_months
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,,80.7%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",6_months
761,https://leetcode.com/problems/special-binary-string,Special Binary String,Hard,,80.7%,"String, Divide and Conquer, Sorting",6_months
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,80.7%,"Array, Hash Table",6_months
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,80.7%,"String, Stack",6_months
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,69.4%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",6_months
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,,69.4%,"Array, Two Pointers, Binary Search, Bit Manipulation",6_months
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,,69.4%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",6_months
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,69.4%,"Array, Two Pointers, Sorting",6_months
198,https://leetcode.com/problems/house-robber,House Robber,Medium,,69.4%,"Array, Dynamic Programming",6_months
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,,69.4%,"Array, Sorting",6_months
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,,69.4%,"Array, Hash Table, Union-Find",6_months
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,,69.4%,"Stack, Design",6_months
204,https://leetcode.com/problems/count-primes,Count Primes,Medium,,69.4%,"Array, Math, Enumeration, Number Theory",6_months
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,,69.4%,"Linked List, Two Pointers, Stack, Recursion",6_months
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,69.4%,"Array, Hash Table, String, Sorting",6_months
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,,69.4%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",6_months
