ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,100.0%,"Hash Table, String, Sliding Window",30_days
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,,95.8%,"Linked List, Math, Recursion",30_days
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,90.7%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",30_days
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,76.7%,"Array, Hash Table",30_days
98,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,Medium,,76.7%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",30_days
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,76.7%,"Array, Hash Table, String, Sorting",30_days
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,,76.7%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",30_days
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,65.6%,"Two Pointers, String, Dynamic Programming",30_days
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,65.6%,"Math, Dynamic Programming, Memoization",30_days
198,https://leetcode.com/problems/house-robber,House Robber,Medium,,65.6%,"Array, Dynamic Programming",30_days
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,65.6%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",30_days
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,65.6%,"String, Stack, Recursion",30_days
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,65.6%,"Array, Two Pointers, Greedy",30_days
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,,65.6%,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort",30_days
15,https://leetcode.com/problems/3sum,3Sum,Medium,,65.6%,"Array, Two Pointers, Sorting",30_days
724,https://leetcode.com/problems/find-pivot-index,Find Pivot Index,Easy,,65.6%,"Array, Prefix Sum",30_days
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,,65.6%,"Array, Binary Search",30_days
168,https://leetcode.com/problems/excel-sheet-column-title,Excel Sheet Column Title,Easy,,65.6%,"Math, String",30_days
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,,65.6%,"Array, Hash Table",30_days
237,https://leetcode.com/problems/delete-node-in-a-linked-list,Delete Node in a Linked List,Medium,,65.6%,Linked List,30_days
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,65.6%,"Array, Dynamic Programming",30_days
863,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,All Nodes Distance K in Binary Tree,Medium,,65.6%,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree",30_days
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,,65.6%,"Math, Dynamic Programming, Combinatorics",30_days
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,,65.6%,"Hash Table, String, Breadth-First Search",30_days
