ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,100.0%,"String, Stack",more_than_6m
2264,https://leetcode.com/problems/largest-3-same-digit-number-in-string,Largest 3-Same-Digit Number in String,Easy,,88.5%,String,more_than_6m
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,88.5%,"Two Pointers, String, Dynamic Programming",more_than_6m
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,,88.5%,"Array, String, Trie",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,88.5%,"Array, Dynamic Programming",more_than_6m
2264,https://leetcode.com/problems/largest-3-same-digit-number-in-string,Largest 3-Same-Digit Number in String,Easy,,100.0%,String,all
3662,https://leetcode.com/problems/filter-characters-by-frequency,Filter Characters by Frequency,Easy,,95.1%,"Hash Table, String, Counting",all
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,73.6%,"String, Stack",all
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,,64.7%,"Array, String, Trie",all
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,64.7%,"Two Pointers, String, Dynamic Programming",all
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,64.7%,"Array, Dynamic Programming",all
