ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
896,https://leetcode.com/problems/monotonic-array,Monotonic Array,Easy,,100.0%,Array,more_than_6m
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,90.2%,"String, Stack, Recursion",more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,83.3%,"String, Stack",more_than_6m
185,https://leetcode.com/problems/department-top-three-salaries,Department Top Three Salaries,Hard,,83.3%,Database,more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,73.5%,"Array, Sorting",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,73.5%,"Array, Dynamic Programming",more_than_6m
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,,73.5%,"Hash Table, String, Sorting",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,73.5%,"Hash Table, String, Sliding Window",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,73.5%,"Array, Hash Table",more_than_6m
896,https://leetcode.com/problems/monotonic-array,Monotonic Array,Easy,,100.0%,Array,all
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,89.9%,"String, Stack",all
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,89.9%,"String, Stack, Recursion",all
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,82.8%,"Array, Hash Table",all
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,82.8%,"Array, Sorting",all
185,https://leetcode.com/problems/department-top-three-salaries,Department Top Three Salaries,Hard,,82.8%,Database,all
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,,72.8%,"Array, Two Pointers, Sorting",all
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,72.8%,"Array, Dynamic Programming",all
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,,72.8%,"Hash Table, String, Sorting",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,72.8%,"Hash Table, String, Sliding Window",all
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,,72.8%,"Stack, Design",all
