ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,,100.0%,"Hash Table, Design, Data Stream",3_months
355,https://leetcode.com/problems/design-twitter,Design Twitter,Medium,,100.0%,"Hash Table, Linked List, Design, Heap (Priority Queue)",3_months
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,100.0%,"Array, Sorting",3_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,100.0%,"Hash Table, Linked List, Design, Doubly-Linked List",3_months
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,,100.0%,"Linked List, Math, Recursion",3_months
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,,100.0%,"Hash Table, Design, Data Stream",6_months
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,,86.7%,"Linked List, Math, Recursion",6_months
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,76.2%,"Array, Two Pointers, Sorting",6_months
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,,76.2%,"Array, Hash Table, Linked List, Design, Hash Function",6_months
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,76.2%,"Array, Binary Search",6_months
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,76.2%,"Array, Hash Table, String, Sorting",6_months
355,https://leetcode.com/problems/design-twitter,Design Twitter,Medium,,76.2%,"Hash Table, Linked List, Design, Heap (Priority Queue)",6_months
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,,76.2%,"Array, Binary Search, Dynamic Programming, Sorting",6_months
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,76.2%,"String, Stack, Recursion",6_months
543,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,Easy,,76.2%,"Tree, Depth-First Search, Binary Tree",6_months
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,76.2%,"Array, Sorting",6_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,76.2%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,100.0%,"Hash Table, Linked List, Design, Doubly-Linked List",more_than_6m
443,https://leetcode.com/problems/string-compression,String Compression,Medium,,76.5%,"Two Pointers, String",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,71.4%,"Hash Table, String, Sliding Window",more_than_6m
2831,https://leetcode.com/problems/find-the-longest-equal-subarray,Find the Longest Equal Subarray,Medium,,71.4%,"Array, Hash Table, Binary Search, Sliding Window",more_than_6m
2086,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,Minimum Number of Food Buckets to Feed the Hamsters,Medium,,71.4%,"String, Dynamic Programming, Greedy",more_than_6m
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,,64.8%,"Array, Binary Search, Divide and Conquer",more_than_6m
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,,64.8%,"Stack, Design",more_than_6m
