ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
3405,https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements,Count the Number of Arrays with K Matching Adjacent Elements,Hard,,100.0%,"Math, Combinatorics",6_months
3418,https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn,Maximum Amount of Money Robot Can Earn,Medium,,100.0%,"Array, Dynamic Programming, Matrix",6_months
3435,https://leetcode.com/problems/frequencies-of-shortest-supersequences,Frequencies of Shortest Supersequences,Hard,,100.0%,"Array, String, Bit Manipulation, Graph, Topological Sort, Enumeration",6_months
659,https://leetcode.com/problems/split-array-into-consecutive-subsequences,Split Array into Consecutive Subsequences,Medium,,71.7%,"Array, Hash Table, Greedy, Heap (Priority Queue)",6_months
378,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,Kth Smallest Element in a Sorted Matrix,Medium,,71.7%,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix",6_months
473,https://leetcode.com/problems/matchsticks-to-square,Matchsticks to Square,Medium,,71.7%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",6_months
2948,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,Make Lexicographically Smallest Array by Swapping Elements,Medium,,62.2%,"Array, Union Find, Sorting",6_months
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,,62.2%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",6_months
652,https://leetcode.com/problems/find-duplicate-subtrees,Find Duplicate Subtrees,Medium,,62.2%,"Hash Table, Tree, Depth-First Search, Binary Tree",6_months
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,,62.2%,"String, Stack, Greedy, Monotonic Stack",6_months
1383,https://leetcode.com/problems/maximum-performance-of-a-team,Maximum Performance of a Team,Hard,,62.2%,"Array, Greedy, Sorting, Heap (Priority Queue)",6_months
1664,https://leetcode.com/problems/ways-to-make-a-fair-array,Ways to Make a Fair Array,Medium,,62.2%,"Array, Prefix Sum",6_months
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,,62.2%,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path",6_months
403,https://leetcode.com/problems/frog-jump,Frog Jump,Hard,,100.0%,"Array, Dynamic Programming",more_than_6m
312,https://leetcode.com/problems/burst-balloons,Burst Balloons,Hard,,92.8%,"Array, Dynamic Programming",more_than_6m
880,https://leetcode.com/problems/decoded-string-at-index,Decoded String at Index,Medium,,91.0%,"String, Stack",more_than_6m
3008,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,Find Beautiful Indices in the Given Array II,Hard,,84.8%,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function",more_than_6m
2995,https://leetcode.com/problems/viewers-turned-streamers,Viewers Turned Streamers,Hard,,84.8%,Database,more_than_6m
632,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,Smallest Range Covering Elements from K Lists,Hard,,84.8%,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)",more_than_6m
947,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,Most Stones Removed with Same Row or Column,Medium,,76.4%,"Hash Table, Depth-First Search, Union Find, Graph",more_than_6m
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,,72.7%,"Array, Hash Table, Breadth-First Search",more_than_6m
