ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,,100.0%,"Array, Hash Table, Breadth-First Search",30_days
282,https://leetcode.com/problems/expression-add-operators,Expression Add Operators,Hard,,84.5%,"Math, String, Backtracking",30_days
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,,75.5%,"Depth-First Search, Graph, Eulerian Circuit",30_days
1723,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,Find Minimum Time to Finish All Jobs,Hard,,75.5%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",30_days
2302,https://leetcode.com/problems/count-subarrays-with-score-less-than-k,Count Subarrays With Score Less Than K,Hard,,75.5%,"Array, Binary Search, Sliding Window, Prefix Sum",30_days
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,,100.0%,"Array, Hash Table, Breadth-First Search",3_months
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,,99.2%,"Depth-First Search, Graph, Eulerian Circuit",3_months
465,https://leetcode.com/problems/optimal-account-balancing,Optimal Account Balancing,Hard,,89.4%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",3_months
282,https://leetcode.com/problems/expression-add-operators,Expression Add Operators,Hard,,89.4%,"Math, String, Backtracking",3_months
2302,https://leetcode.com/problems/count-subarrays-with-score-less-than-k,Count Subarrays With Score Less Than K,Hard,,69.0%,"Array, Binary Search, Sliding Window, Prefix Sum",3_months
494,https://leetcode.com/problems/target-sum,Target Sum,Medium,,64.6%,"Array, Dynamic Programming, Backtracking",3_months
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,,59.0%,"Array, Dynamic Programming, Breadth-First Search",3_months
1293,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,Shortest Path in a Grid with Obstacles Elimination,Hard,,59.0%,"Array, Breadth-First Search, Matrix",3_months
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,,59.0%,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",3_months
642,https://leetcode.com/problems/design-search-autocomplete-system,Design Search Autocomplete System,Hard,,51.0%,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream",3_months
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,,51.0%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting",3_months
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,,51.0%,"Array, Backtracking",3_months
1723,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,Find Minimum Time to Finish All Jobs,Hard,,51.0%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",3_months
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,,100.0%,"Depth-First Search, Graph, Eulerian Circuit",6_months
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,,97.0%,"Array, Hash Table, Breadth-First Search",6_months
465,https://leetcode.com/problems/optimal-account-balancing,Optimal Account Balancing,Hard,,92.4%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",6_months
282,https://leetcode.com/problems/expression-add-operators,Expression Add Operators,Hard,,86.4%,"Math, String, Backtracking",6_months
2302,https://leetcode.com/problems/count-subarrays-with-score-less-than-k,Count Subarrays With Score Less Than K,Hard,,75.5%,"Array, Binary Search, Sliding Window, Prefix Sum",6_months
494,https://leetcode.com/problems/target-sum,Target Sum,Medium,,69.8%,"Array, Dynamic Programming, Backtracking",6_months
2402,https://leetcode.com/problems/meeting-rooms-iii,Meeting Rooms III,Hard,,61.9%,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation",6_months
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,,61.9%,"Array, Dynamic Programming, Breadth-First Search",6_months
642,https://leetcode.com/problems/design-search-autocomplete-system,Design Search Autocomplete System,Hard,,56.3%,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream",6_months
1293,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,Shortest Path in a Grid with Obstacles Elimination,Hard,,56.3%,"Array, Breadth-First Search, Matrix",6_months
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,,56.3%,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",6_months
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,,48.3%,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting",6_months
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,,48.3%,"Array, Backtracking",6_months
1723,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,Find Minimum Time to Finish All Jobs,Hard,,48.3%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",6_months
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,,100.0%,String,more_than_6m
1293,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,Shortest Path in a Grid with Obstacles Elimination,Hard,,92.5%,"Array, Breadth-First Search, Matrix",more_than_6m
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,,90.3%,"Array, Binary Search, Dynamic Programming, Sorting",more_than_6m
