ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,100.0%,"Hash Table, Linked List, Design, Doubly-Linked List",3_months
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",3_months
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,,100.0%,"Linked List, Recursion",3_months
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,100.0%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",3_months
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,,100.0%,"Linked List, Recursion",6_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,100.0%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
1163,https://leetcode.com/problems/last-substring-in-lexicographical-order,Last Substring in Lexicographical Order,Hard,,87.8%,"Two Pointers, String",6_months
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,87.8%,"Hash Table, String, Sliding Window",6_months
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,87.8%,"String, Stack",6_months
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,,87.8%,Math,6_months
852,https://leetcode.com/problems/peak-index-in-a-mountain-array,Peak Index in a Mountain Array,Medium,,87.8%,"Array, Binary Search",6_months
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,,87.8%,"Math, Dynamic Programming, Combinatorics",6_months
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,87.8%,"Array, Hash Table",6_months
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,87.8%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",6_months
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,,100.0%,"Linked List, Recursion",more_than_6m
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,94.6%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",more_than_6m
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,,94.6%,"Linked List, Recursion",more_than_6m
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,,88.0%,"Linked List, Two Pointers",more_than_6m
190,https://leetcode.com/problems/reverse-bits,Reverse Bits,Easy,,88.0%,"Divide and Conquer, Bit Manipulation",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,88.0%,"Hash Table, String, Sliding Window",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,88.0%,"Array, Hash Table",more_than_6m
15,https://leetcode.com/problems/3sum,3Sum,Medium,,88.0%,"Array, Two Pointers, Sorting",more_than_6m
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,,79.5%,"Array, Math, Matrix",more_than_6m
3163,https://leetcode.com/problems/string-compression-iii,String Compression III,Medium,,79.5%,String,more_than_6m
876,https://leetcode.com/problems/middle-of-the-linked-list,Middle of the Linked List,Easy,,79.5%,"Linked List, Two Pointers",more_than_6m
231,https://leetcode.com/problems/power-of-two,Power of Two,Easy,,79.5%,"Math, Bit Manipulation, Recursion",more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,79.5%,"String, Stack",more_than_6m
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,,79.5%,"Math, Recursion",more_than_6m
836,https://leetcode.com/problems/rectangle-overlap,Rectangle Overlap,Easy,,79.5%,"Math, Geometry",more_than_6m
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,79.5%,"Hash Table, Linked List, Design, Doubly-Linked List",more_than_6m
622,https://leetcode.com/problems/design-circular-queue,Design Circular Queue,Medium,,79.5%,"Array, Linked List, Design, Queue",more_than_6m
141,https://leetcode.com/problems/linked-list-cycle,Linked List Cycle,Easy,,79.5%,"Hash Table, Linked List, Two Pointers",more_than_6m
2183,https://leetcode.com/problems/count-array-pairs-divisible-by-k,Count Array Pairs Divisible by K,Hard,,79.5%,"Array, Hash Table, Math, Counting, Number Theory",more_than_6m
344,https://leetcode.com/problems/reverse-string,Reverse String,Easy,,79.5%,"Two Pointers, String",more_than_6m
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,79.5%,"Array, Two Pointers",more_than_6m
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,67.6%,"Math, Dynamic Programming, Memoization",more_than_6m
24,https://leetcode.com/problems/swap-nodes-in-pairs,Swap Nodes in Pairs,Medium,,67.6%,"Linked List, Recursion",more_than_6m
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,,67.6%,"Array, Hash Table, Design, Simulation",more_than_6m
1183,https://leetcode.com/problems/maximum-number-of-ones,Maximum Number of Ones,Hard,,67.6%,"Math, Greedy, Sorting, Heap (Priority Queue)",more_than_6m
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,,67.6%,"Two Pointers, String, Dynamic Programming",more_than_6m
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,,67.6%,"Array, Two Pointers",more_than_6m
58,https://leetcode.com/problems/length-of-last-word,Length of Last Word,Easy,,67.6%,String,more_than_6m
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,,67.6%,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,67.6%,"Array, Sorting",more_than_6m
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,,67.6%,Math,more_than_6m
407,https://leetcode.com/problems/trapping-rain-water-ii,Trapping Rain Water II,Hard,,67.6%,"Array, Breadth-First Search, Heap (Priority Queue), Matrix",more_than_6m
8,https://leetcode.com/problems/string-to-integer-atoi,String to Integer (atoi),Medium,,67.6%,String,more_than_6m
232,https://leetcode.com/problems/implement-queue-using-stacks,Implement Queue using Stacks,Easy,,67.6%,"Stack, Design, Queue",more_than_6m
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,,67.6%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",more_than_6m
104,https://leetcode.com/problems/maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,,67.6%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",more_than_6m
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,,67.6%,Math,more_than_6m
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,,67.6%,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort",more_than_6m
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,,67.6%,"Array, Hash Table, Divide and Conquer, Sorting, Counting",more_than_6m
46,https://leetcode.com/problems/permutations,Permutations,Medium,,67.6%,"Array, Backtracking",more_than_6m
342,https://leetcode.com/problems/power-of-four,Power of Four,Easy,,67.6%,"Math, Bit Manipulation, Recursion",more_than_6m
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,67.6%,"Array, Two Pointers, Sorting",more_than_6m
2563,https://leetcode.com/problems/count-the-number-of-fair-pairs,Count the Number of Fair Pairs,Medium,,67.6%,"Array, Two Pointers, Binary Search, Sorting",more_than_6m
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,,67.6%,"Array, Binary Search, Divide and Conquer",more_than_6m
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,67.6%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",more_than_6m
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,,67.6%,"Array, Hash Table, Prefix Sum",more_than_6m
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,,67.6%,"String, Dynamic Programming",more_than_6m
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,,67.6%,"Array, Dynamic Programming",more_than_6m
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,,67.6%,"Two Pointers, String, String Matching",more_than_6m
346,https://leetcode.com/problems/moving-average-from-data-stream,Moving Average from Data Stream,Easy,,67.6%,"Array, Design, Queue, Data Stream",more_than_6m
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,,67.6%,"String, Dynamic Programming, Backtracking",more_than_6m
3163,https://leetcode.com/problems/string-compression-iii,String Compression III,Medium,,100.0%,String,all
1183,https://leetcode.com/problems/maximum-number-of-ones,Maximum Number of Ones,Hard,,97.5%,"Math, Greedy, Sorting, Heap (Priority Queue)",all
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,,91.7%,"Linked List, Recursion",all
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,88.2%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",all
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,84.2%,"Hash Table, Linked List, Design, Doubly-Linked List",all
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,,84.2%,"Linked List, Recursion",all
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,84.2%,"Array, Hash Table",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,84.2%,"Hash Table, String, Sliding Window",all
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,79.4%,"String, Stack",all
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,,73.6%,Math,all
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,,73.6%,"Array, Math, Matrix",all
231,https://leetcode.com/problems/power-of-two,Power of Two,Easy,,73.6%,"Math, Bit Manipulation, Recursion",all
190,https://leetcode.com/problems/reverse-bits,Reverse Bits,Easy,,73.6%,"Divide and Conquer, Bit Manipulation",all
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,,73.6%,"Linked List, Two Pointers",all
836,https://leetcode.com/problems/rectangle-overlap,Rectangle Overlap,Easy,,73.6%,"Math, Geometry",all
141,https://leetcode.com/problems/linked-list-cycle,Linked List Cycle,Easy,,73.6%,"Hash Table, Linked List, Two Pointers",all
344,https://leetcode.com/problems/reverse-string,Reverse String,Easy,,73.6%,"Two Pointers, String",all
15,https://leetcode.com/problems/3sum,3Sum,Medium,,73.6%,"Array, Two Pointers, Sorting",all
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,66.1%,"Math, Dynamic Programming, Memoization",all
876,https://leetcode.com/problems/middle-of-the-linked-list,Middle of the Linked List,Easy,,66.1%,"Linked List, Two Pointers",all
