ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,,100.0%,"Array, Backtracking",more_than_6m
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,88.5%,"Hash Table, Linked List, Design, Doubly-Linked List",more_than_6m
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,,88.5%,"Array, Math, Matrix",more_than_6m
443,https://leetcode.com/problems/string-compression,String Compression,Medium,,88.5%,"Two Pointers, String",more_than_6m
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,88.5%,"Array, Breadth-First Search, Matrix",more_than_6m
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,88.5%,"Math, Dynamic Programming, Memoization",more_than_6m
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,,100.0%,"Array, Backtracking",all
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,88.0%,"Hash Table, Linked List, Design, Doubly-Linked List",all
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,,88.0%,"Array, Math, Matrix",all
443,https://leetcode.com/problems/string-compression,String Compression,Medium,,88.0%,"Two Pointers, String",all
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,88.0%,"Array, Breadth-First Search, Matrix",all
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,88.0%,"Math, Dynamic Programming, Memoization",all
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,88.0%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",all
