ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
723,https://leetcode.com/problems/candy-crush,Candy Crush,Medium,,100.0%,"Array, Two Pointers, Matrix, Simulation",30_days
723,https://leetcode.com/problems/candy-crush,Candy Crush,Medium,,100.0%,"Array, Two Pointers, Matrix, Simulation",3_months
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,,100.0%,"Hash Table, Design, Data Stream",6_months
723,https://leetcode.com/problems/candy-crush,Candy Crush,Medium,,95.7%,"Array, Two Pointers, Matrix, Simulation",6_months
1434,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other,Number of Ways to Wear Different Hats to Each Other,Hard,,90.5%,"Array, Dynamic Programming, Bit Manipulation, Bitmask",6_months
642,https://leetcode.com/problems/design-search-autocomplete-system,Design Search Autocomplete System,Hard,,83.8%,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream",6_months
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,,74.3%,"Array, Binary Search, Design, Queue, Data Stream",6_months
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,74.3%,"Array, Hash Table",6_months
849,https://leetcode.com/problems/maximize-distance-to-closest-person,Maximize Distance to Closest Person,Medium,,74.3%,Array,6_months
723,https://leetcode.com/problems/candy-crush,Candy Crush,Medium,,100.0%,"Array, Two Pointers, Matrix, Simulation",more_than_6m
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,,96.8%,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting",more_than_6m
1434,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other,Number of Ways to Wear Different Hats to Each Other,Hard,,92.1%,"Array, Dynamic Programming, Bit Manipulation, Bitmask",more_than_6m
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,,91.2%,"Array, String, Simulation",more_than_6m
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,,88.3%,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting",more_than_6m
849,https://leetcode.com/problems/maximize-distance-to-closest-person,Maximize Distance to Closest Person,Medium,,86.1%,Array,more_than_6m
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,,84.9%,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort",more_than_6m
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,,75.8%,"Array, Binary Search, Design, Queue, Data Stream",more_than_6m
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,,73.8%,"Array, Math, Matrix",more_than_6m
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,,73.8%,"Math, String, Recursion",more_than_6m
642,https://leetcode.com/problems/design-search-autocomplete-system,Design Search Autocomplete System,Hard,,69.2%,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream",more_than_6m
3071,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,Minimum Operations to Write the Letter Y on a Grid,Medium,,69.2%,"Array, Hash Table, Matrix, Counting",more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,66.4%,"String, Stack",more_than_6m
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,,66.4%,"Hash Table, String, Design, Trie",more_than_6m
2817,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,Minimum Absolute Difference Between Elements With Constraint,Medium,,66.4%,"Array, Binary Search, Ordered Set",more_than_6m
2768,https://leetcode.com/problems/number-of-black-blocks,Number of Black Blocks,Medium,,66.4%,"Array, Hash Table, Enumeration",more_than_6m
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,,63.2%,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort",more_than_6m
3043,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,Find the Length of the Longest Common Prefix,Medium,,59.4%,"Array, Hash Table, String, Trie",more_than_6m
3161,https://leetcode.com/problems/block-placement-queries,Block Placement Queries,Hard,,59.4%,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set",more_than_6m
992,https://leetcode.com/problems/subarrays-with-k-different-integers,Subarrays with K Different Integers,Hard,,59.4%,"Array, Hash Table, Sliding Window, Counting",more_than_6m
2672,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Number of Adjacent Elements With the Same Color,Medium,,59.4%,Array,more_than_6m
1861,https://leetcode.com/problems/rotating-the-box,Rotating the Box,Medium,,59.4%,"Array, Two Pointers, Matrix",more_than_6m
