ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,100.0%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,100.0%,"Hash Table, Linked List, Design, Doubly-Linked List",more_than_6m
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,100.0%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",more_than_6m
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,,100.0%,"Array, Binary Search, Dynamic Programming",more_than_6m
312,https://leetcode.com/problems/burst-balloons,Burst Balloons,Hard,,100.0%,"Array, Dynamic Programming",more_than_6m
3045,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,Count Prefix and Suffix Pairs II,Hard,,95.2%,"Array, String, Trie, Rolling Hash, String Matching, Hash Function",more_than_6m
3080,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,Mark Elements on Array by Performing Queries,Medium,,95.2%,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation",more_than_6m
30,https://leetcode.com/problems/substring-with-concatenation-of-all-words,Substring with Concatenation of All Words,Hard,,95.2%,"Hash Table, String, Sliding Window",more_than_6m
374,https://leetcode.com/problems/guess-number-higher-or-lower,Guess Number Higher or Lower,Easy,,95.2%,"Binary Search, Interactive",more_than_6m
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,89.4%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",more_than_6m
849,https://leetcode.com/problems/maximize-distance-to-closest-person,Maximize Distance to Closest Person,Medium,,85.9%,Array,more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,81.9%,"Array, Hash Table",more_than_6m
785,https://leetcode.com/problems/is-graph-bipartite,Is Graph Bipartite?,Medium,,77.1%,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory",more_than_6m
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,77.1%,"Array, Breadth-First Search, Matrix",more_than_6m
886,https://leetcode.com/problems/possible-bipartition,Possible Bipartition,Medium,,77.1%,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory",more_than_6m
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,,77.1%,"Array, Binary Search",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,71.3%,"Array, Dynamic Programming",more_than_6m
987,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,Vertical Order Traversal of a Binary Tree,Hard,,71.3%,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree",more_than_6m
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,,71.3%,"Array, Binary Search, Sliding Window, Prefix Sum",more_than_6m
15,https://leetcode.com/problems/3sum,3Sum,Medium,,63.8%,"Array, Two Pointers, Sorting",more_than_6m
2035,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,Partition Array Into Two Arrays to Minimize Sum Difference,Hard,,63.8%,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Sorting, Ordered Set, Bitmask",more_than_6m
2662,https://leetcode.com/problems/minimum-cost-of-a-path-with-special-roads,Minimum Cost of a Path With Special Roads,Medium,,63.8%,"Array, Graph Theory, Heap (Priority Queue), Shortest Path",more_than_6m
1675,https://leetcode.com/problems/minimize-deviation-in-array,Minimize Deviation in Array,Hard,,63.8%,"Array, Greedy, Heap (Priority Queue), Ordered Set",more_than_6m
1301,https://leetcode.com/problems/number-of-paths-with-max-score,Number of Paths with Max Score,Hard,,63.8%,"Array, Dynamic Programming, Matrix",more_than_6m
