ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
74,https://leetcode.com/problems/search-a-2d-matrix,Search a 2D Matrix,Medium,,100.0%,"Array, Binary Search, Matrix",3_months
74,https://leetcode.com/problems/search-a-2d-matrix,Search a 2D Matrix,Medium,,100.0%,"Array, Binary Search, Matrix",6_months
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,,89.0%,"Tree, Depth-First Search, Binary Tree",6_months
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",more_than_6m
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,86.7%,"Array, Two Pointers, Greedy",more_than_6m
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,,79.9%,"Array, String, Trie",more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,75.6%,"String, Stack",more_than_6m
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,75.6%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,75.6%,"Array, Dynamic Programming",more_than_6m
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,70.3%,"Array, Divide and Conquer, Dynamic Programming",more_than_6m
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,70.3%,"Two Pointers, String, Dynamic Programming",more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,70.3%,"Array, Sorting",more_than_6m
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,,70.3%,Math,more_than_6m
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,,63.5%,"Linked List, Recursion",more_than_6m
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,,63.5%,"Two Pointers, String",more_than_6m
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,,63.5%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",more_than_6m
1428,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,Leftmost Column with at Least a One,Medium,,63.5%,"Array, Binary Search, Matrix, Interactive",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,63.5%,"Hash Table, String, Sliding Window",more_than_6m
141,https://leetcode.com/problems/linked-list-cycle,Linked List Cycle,Easy,,63.5%,"Hash Table, Linked List, Two Pointers",more_than_6m
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,63.5%,"Array, Two Pointers",more_than_6m
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,63.5%,"Hash Table, Linked List, Design, Doubly-Linked List",more_than_6m
367,https://leetcode.com/problems/valid-perfect-square,Valid Perfect Square,Easy,,54.0%,"Math, Binary Search",more_than_6m
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,,54.0%,"Array, Dynamic Programming, Matrix",more_than_6m
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,54.0%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",more_than_6m
1341,https://leetcode.com/problems/movie-rating,Movie Rating,Medium,,54.0%,Database,more_than_6m
2065,https://leetcode.com/problems/maximum-path-quality-of-a-graph,Maximum Path Quality of a Graph,Hard,,54.0%,"Array, Backtracking, Graph Theory",more_than_6m
2954,https://leetcode.com/problems/count-the-number-of-infection-sequences,Count the Number of Infection Sequences,Hard,,54.0%,"Array, Math, Combinatorics",more_than_6m
2552,https://leetcode.com/problems/count-increasing-quadruplets,Count Increasing Quadruplets,Hard,,54.0%,"Array, Dynamic Programming, Binary Indexed Tree, Enumeration, Prefix Sum",more_than_6m
