ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,,100.0%,"Array, String, Trie",6_months
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,,100.0%,"Tree, Breadth-First Search, Binary Tree",more_than_6m
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,,80.6%,"Array, Prefix Sum",more_than_6m
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,,80.6%,"Linked List, Recursion",more_than_6m
881,https://leetcode.com/problems/boats-to-save-people,Boats to Save People,Medium,,80.6%,"Array, Two Pointers, Greedy, Sorting",more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,80.6%,"String, Stack",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,80.6%,"Hash Table, String, Sliding Window",more_than_6m
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,,80.6%,"Stack, Design",more_than_6m
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,,80.6%,"Array, Dynamic Programming, Greedy",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,80.6%,"Array, Dynamic Programming",more_than_6m
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,80.6%,"Array, Two Pointers",more_than_6m
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,80.6%,"Array, Breadth-First Search, Matrix",more_than_6m
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,,100.0%,"Tree, Breadth-First Search, Binary Tree",all
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,91.7%,"Array, Dynamic Programming",all
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,,80.1%,"Array, Prefix Sum",all
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,,80.1%,"Linked List, Recursion",all
881,https://leetcode.com/problems/boats-to-save-people,Boats to Save People,Medium,,80.1%,"Array, Two Pointers, Greedy, Sorting",all
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,80.1%,"String, Stack",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,80.1%,"Hash Table, String, Sliding Window",all
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,,80.1%,"Stack, Design",all
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,,80.1%,"Array, Dynamic Programming, Greedy",all
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,80.1%,"Array, Two Pointers",all
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,80.1%,"Array, Hash Table, String, Sorting",all
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,,80.1%,"Array, String, Trie",all
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,,80.1%,"Array, Dynamic Programming, Breadth-First Search",all
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,80.1%,"Array, Breadth-First Search, Matrix",all
