ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,,100.0%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",30_days
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,,100.0%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",3_months
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,,100.0%,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",6_months
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,89.8%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",6_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,89.8%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,,72.5%,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",6_months
772,https://leetcode.com/problems/basic-calculator-iii,Basic Calculator III,Hard,,72.5%,"Math, String, Stack, Recursion",6_months
2258,https://leetcode.com/problems/escape-the-spreading-fire,Escape the Spreading Fire,Hard,,72.5%,"Array, Binary Search, Breadth-First Search, Matrix",6_months
939,https://leetcode.com/problems/minimum-area-rectangle,Minimum Area Rectangle,Medium,,72.5%,"Array, Hash Table, Math, Geometry, Sorting",6_months
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,,72.5%,"Array, Binary Search, Design, Queue, Data Stream",6_months
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,,72.5%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",6_months
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,,100.0%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",more_than_6m
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,97.9%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",more_than_6m
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,,97.9%,"Array, Hash Table, Breadth-First Search",more_than_6m
