ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
999,https://leetcode.com/problems/available-captures-for-rook,Available Captures for Rook,Easy,,100.0%,,all
573,https://leetcode.com/problems/squirrel-simulation,Squirrel Simulation,Medium,,100.0%,,all
2069,https://leetcode.com/problems/walking-robot-simulation-ii,Walking Robot Simulation II,Medium,,100.0%,,all
139,https://leetcode.com/problems/word-break,Word Break,Medium,,100.0%,,all
699,https://leetcode.com/problems/falling-squares,Falling Squares,Hard,,100.0%,,all
2768,https://leetcode.com/problems/number-of-black-blocks,Number of Black Blocks,Medium,,100.0%,,all
1814,https://leetcode.com/problems/count-nice-pairs-in-an-array,Count Nice Pairs in an Array,Medium,,100.0%,,all
1861,https://leetcode.com/problems/rotating-the-box,Rotating the Box,Medium,,100.0%,,all
490,https://leetcode.com/problems/the-maze,The Maze,Medium,,62.5%,,all
969,https://leetcode.com/problems/pancake-sorting,Pancake Sorting,Medium,,100.0%,,all
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,,87.5%,,all
271,https://leetcode.com/problems/encode-and-decode-strings,Encode and Decode Strings,Medium,,62.5%,,all
