ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,100.0%,"Array, Dynamic Programming",6_months
1711,https://leetcode.com/problems/count-good-meals,Count Good Meals,Medium,,100.0%,"Array, Hash Table",6_months
3169,https://leetcode.com/problems/count-days-without-meetings,Count Days Without Meetings,Medium,,89.1%,"Array, Sorting",6_months
2943,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid,Maximize Area of Square Hole in Grid,Medium,,89.1%,"Array, Sorting",6_months
96,https://leetcode.com/problems/unique-binary-search-trees,Unique Binary Search Trees,Medium,,89.1%,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",6_months
1711,https://leetcode.com/problems/count-good-meals,Count Good Meals,Medium,,100.0%,"Array, Hash Table",more_than_6m
496,https://leetcode.com/problems/next-greater-element-i,Next Greater Element I,Easy,,94.8%,"Array, Hash Table, Stack, Monotonic Stack",more_than_6m
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,,88.4%,"Hash Table, Math, Two Pointers",more_than_6m
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,80.3%,"Array, Two Pointers, Sorting",more_than_6m
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,,80.3%,"Hash Table, Math, String",more_than_6m
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,,80.3%,"Array, Stack, Monotonic Stack",more_than_6m
888,https://leetcode.com/problems/fair-candy-swap,Fair Candy Swap,Easy,,80.3%,"Array, Hash Table, Binary Search, Sorting",more_than_6m
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,,80.3%,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort",more_than_6m
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,,80.3%,"String, Dynamic Programming",more_than_6m
115,https://leetcode.com/problems/distinct-subsequences,Distinct Subsequences,Hard,,80.3%,"String, Dynamic Programming",more_than_6m
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,,68.7%,"Array, Binary Search, Dynamic Programming, Sorting",more_than_6m
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,,68.7%,"Array, Two Pointers, Sorting",more_than_6m
1413,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,Minimum Value to Get Positive Step by Step Sum,Easy,,68.7%,"Array, Prefix Sum",more_than_6m
2943,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid,Maximize Area of Square Hole in Grid,Medium,,68.7%,"Array, Sorting",more_than_6m
