ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",30_days
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,,94.2%,"Hash Table, String, Queue, Counting",30_days
,https://leetcode.com/problems/maximum-total-subarray-value-i,Maximum Total Subarray Value I,Medium,,76.1%,"Array, Greedy",30_days
111,https://leetcode.com/problems/minimum-depth-of-binary-tree,Minimum Depth of Binary Tree,Easy,,76.1%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",30_days
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,,76.1%,"Linked List, Two Pointers, Stack, Recursion",30_days
104,https://leetcode.com/problems/maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,,76.1%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",30_days
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,,76.1%,"Array, Binary Search",30_days
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,76.1%,"Two Pointers, String, Dynamic Programming",30_days
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,,76.1%,"Array, Math, Two Pointers",30_days
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",3_months
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,95.8%,"Array, Divide and Conquer, Dynamic Programming",3_months
766,https://leetcode.com/problems/toeplitz-matrix,Toeplitz Matrix,Easy,,90.8%,"Array, Matrix",3_months
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,,84.7%,"Hash Table, String, Queue, Counting",3_months
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,76.9%,"Array, Two Pointers",3_months
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,,76.9%,"Array, Dynamic Programming",3_months
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,,76.9%,"Array, Matrix, Simulation",3_months
,https://leetcode.com/problems/maximum-total-subarray-value-i,Maximum Total Subarray Value I,Medium,,76.9%,"Array, Greedy",3_months
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,,76.9%,Math,3_months
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,76.9%,"Array, Two Pointers, Greedy",3_months
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,,76.9%,"Array, Math, Two Pointers",3_months
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,,65.9%,"Array, String, Trie",3_months
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,,65.9%,"Hash Table, String, Sorting",3_months
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,,65.9%,"Array, Binary Search",3_months
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,,65.9%,"Array, Two Pointers",3_months
1295,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,Find Numbers with Even Number of Digits,Easy,,65.9%,"Array, Math",3_months
344,https://leetcode.com/problems/reverse-string,Reverse String,Easy,,65.9%,"Two Pointers, String",3_months
111,https://leetcode.com/problems/minimum-depth-of-binary-tree,Minimum Depth of Binary Tree,Easy,,65.9%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",3_months
198,https://leetcode.com/problems/house-robber,House Robber,Medium,,65.9%,"Array, Dynamic Programming",3_months
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,,65.9%,"Linked List, Two Pointers, Stack, Recursion",3_months
104,https://leetcode.com/problems/maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,,65.9%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",3_months
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,,65.9%,"Array, Hash Table, Sliding Window",3_months
1833,https://leetcode.com/problems/maximum-ice-cream-bars,Maximum Ice Cream Bars,Medium,,65.9%,"Array, Greedy, Sorting, Counting Sort",3_months
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,,65.9%,"Array, Binary Search, Divide and Conquer",3_months
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,,65.9%,"Array, Binary Search",3_months
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,,65.9%,"Array, Binary Search",3_months
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,65.9%,"Two Pointers, String, Dynamic Programming",3_months
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,,65.9%,"Array, Prefix Sum",3_months
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",6_months
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,89.5%,"Array, Divide and Conquer, Dynamic Programming",6_months
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,86.1%,"Array, Two Pointers",6_months
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,86.1%,"Two Pointers, String, Dynamic Programming",6_months
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,,82.1%,Math,6_months
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,,82.1%,"Array, Dynamic Programming",6_months
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,,77.4%,"Hash Table, String, Sorting",6_months
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,,77.4%,"Array, Math, Two Pointers",6_months
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,,77.4%,"Array, Binary Search",6_months
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,,77.4%,"Array, Two Pointers, Sorting",6_months
766,https://leetcode.com/problems/toeplitz-matrix,Toeplitz Matrix,Easy,,77.4%,"Array, Matrix",6_months
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,,71.7%,"Array, String, Trie",6_months
