ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,,100.0%,"Hash Table, String, Breadth-First Search",more_than_6m
3043,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,Find the Length of the Longest Common Prefix,Medium,,88.6%,"Array, Hash Table, String, Trie",more_than_6m
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,,88.6%,"Math, String, Stack",more_than_6m
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,,88.6%,"Array, Matrix, Simulation",more_than_6m
2043,https://leetcode.com/problems/simple-bank-system,Simple Bank System,Medium,,88.6%,"Array, Hash Table, Design, Simulation",more_than_6m
443,https://leetcode.com/problems/string-compression,String Compression,Medium,,88.6%,"Two Pointers, String",more_than_6m
3043,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,Find the Length of the Longest Common Prefix,Medium,,100.0%,"Array, Hash Table, String, Trie",all
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,,74.0%,"Hash Table, String, Breadth-First Search",all
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,,65.2%,"Math, String, Stack",all
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,,65.2%,"Array, Matrix, Simulation",all
2043,https://leetcode.com/problems/simple-bank-system,Simple Bank System,Medium,,65.2%,"Array, Hash Table, Design, Simulation",all
443,https://leetcode.com/problems/string-compression,String Compression,Medium,,65.2%,"Two Pointers, String",all
