ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
3003,https://leetcode.com/problems/maximize-the-number-of-partitions-after-operations,Maximize the Number of Partitions After Operations,Hard,,100.0%,"String, Dynamic Programming, Bit Manipulation, Bitmask",more_than_6m
2941,https://leetcode.com/problems/maximum-gcd-sum-of-a-subarray,Maximum GCD-Sum of a Subarray,Hard,,100.0%,"Array, Math, Binary Search, Number Theory",more_than_6m
3036,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-ii,Number of Subarrays That Match a Pattern II,Hard,,100.0%,"Array, Rolling Hash, String Matching, Hash Function",more_than_6m
3226,https://leetcode.com/problems/number-of-bit-changes-to-make-two-integers-equal,Number of Bit Changes to Make Two Integers Equal,Easy,,65.6%,Bit Manipulation,more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,65.6%,"Array, Hash Table",more_than_6m
3226,https://leetcode.com/problems/number-of-bit-changes-to-make-two-integers-equal,Number of Bit Changes to Make Two Integers Equal,Easy,,100.0%,Bit Manipulation,all
2941,https://leetcode.com/problems/maximum-gcd-sum-of-a-subarray,Maximum GCD-Sum of a Subarray,Hard,,100.0%,"Array, Math, Binary Search, Number Theory",all
3003,https://leetcode.com/problems/maximize-the-number-of-partitions-after-operations,Maximize the Number of Partitions After Operations,Hard,,100.0%,"String, Dynamic Programming, Bit Manipulation, Bitmask",all
3036,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-ii,Number of Subarrays That Match a Pattern II,Hard,,100.0%,"Array, Rolling Hash, String Matching, Hash Function",all
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,64.5%,"Array, Hash Table",all
