ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",more_than_6m
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,,89.3%,"Array, Binary Search",more_than_6m
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,,89.3%,"Stack, Design",more_than_6m
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,89.3%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",more_than_6m
2605,https://leetcode.com/problems/form-smallest-number-from-two-digit-arrays,Form Smallest Number From Two Digit Arrays,Easy,,89.3%,"Array, Hash Table, Enumeration",more_than_6m
2609,https://leetcode.com/problems/find-the-longest-balanced-substring-of-a-binary-string,Find the Longest Balanced Substring of a Binary String,Easy,,89.3%,String,more_than_6m
2694,https://leetcode.com/problems/event-emitter,Event Emitter,Medium,,81.7%,,more_than_6m
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,81.7%,"String, Stack, Recursion",more_than_6m
1984,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores,Minimum Difference Between Highest and Lowest of K Scores,Easy,,81.7%,"Array, Sliding Window, Sorting",more_than_6m
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,,81.7%,"Two Pointers, String, Dynamic Programming",more_than_6m
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,,81.7%,"Linked List, Two Pointers",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,70.9%,"Hash Table, String, Sliding Window",more_than_6m
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,70.9%,"Two Pointers, String, Dynamic Programming",more_than_6m
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,,70.9%,"String, Stack",more_than_6m
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,70.9%,"Array, Binary Search",more_than_6m
448,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,Find All Numbers Disappeared in an Array,Easy,,70.9%,"Array, Hash Table",more_than_6m
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,,70.9%,"Two Pointers, String",more_than_6m
419,https://leetcode.com/problems/battleships-in-a-board,Battleships in a Board,Medium,,70.9%,"Array, Depth-First Search, Matrix",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,100.0%,"Array, Hash Table",all
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,,95.1%,"Array, Binary Search",all
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,95.1%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",all
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,,89.1%,"Stack, Design",all
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,89.1%,"String, Stack, Recursion",all
2605,https://leetcode.com/problems/form-smallest-number-from-two-digit-arrays,Form Smallest Number From Two Digit Arrays,Easy,,89.1%,"Array, Hash Table, Enumeration",all
1984,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores,Minimum Difference Between Highest and Lowest of K Scores,Easy,,89.1%,"Array, Sliding Window, Sorting",all
2609,https://leetcode.com/problems/find-the-longest-balanced-substring-of-a-binary-string,Find the Longest Balanced Substring of a Binary String,Easy,,89.1%,String,all
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,,81.5%,"String, Stack",all
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,,81.5%,"Two Pointers, String, Dynamic Programming",all
2694,https://leetcode.com/problems/event-emitter,Event Emitter,Medium,,81.5%,,all
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,81.5%,"Array, Binary Search",all
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,,81.5%,"Linked List, Two Pointers",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,70.6%,"Hash Table, String, Sliding Window",all
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,70.6%,"Two Pointers, String, Dynamic Programming",all
419,https://leetcode.com/problems/battleships-in-a-board,Battleships in a Board,Medium,,70.6%,"Array, Depth-First Search, Matrix",all
448,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,Find All Numbers Disappeared in an Array,Easy,,70.6%,"Array, Hash Table",all
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,,70.6%,"Two Pointers, String",all
