ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1027,https://leetcode.com/problems/longest-arithmetic-subsequence,Longest Arithmetic Subsequence,Medium,,100.0%,"Array, Hash Table, Binary Search, Dynamic Programming",6_months
1703,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,Minimum Adjacent Swaps for K Consecutive Ones,Hard,,100.0%,"Array, Greedy, Sliding Window, Prefix Sum",6_months
468,https://leetcode.com/problems/validate-ip-address,Validate IP Address,Medium,,92.6%,String,6_months
665,https://leetcode.com/problems/non-decreasing-array,Non-decreasing Array,Medium,,82.1%,Array,6_months
264,https://leetcode.com/problems/ugly-number-ii,Ugly Number II,Medium,,82.1%,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)",6_months
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,100.0%,"Hash Table, String, Sliding Window",more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,93.5%,"String, Stack",more_than_6m
983,https://leetcode.com/problems/minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,,87.0%,"Array, Dynamic Programming",more_than_6m
468,https://leetcode.com/problems/validate-ip-address,Validate IP Address,Medium,,84.4%,String,more_than_6m
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,,84.4%,"Array, Binary Search",more_than_6m
682,https://leetcode.com/problems/baseball-game,Baseball Game,Easy,,77.9%,"Array, Stack, Simulation",more_than_6m
3138,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,Minimum Length of Anagram Concatenation,Medium,,77.9%,"Hash Table, String, Counting",more_than_6m
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,68.7%,"Two Pointers, String, Dynamic Programming",more_than_6m
3091,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,Apply Operations to Make Sum of Array Greater Than or Equal to k,Medium,,68.7%,"Math, Greedy, Enumeration",more_than_6m
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,,62.3%,"Array, String, Trie",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,62.3%,"Array, Dynamic Programming",more_than_6m
3122,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions,Minimum Number of Operations to Satisfy Conditions,Medium,,62.3%,"Array, Dynamic Programming, Matrix",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,62.3%,"Array, Hash Table",more_than_6m
997,https://leetcode.com/problems/find-the-town-judge,Find the Town Judge,Easy,,53.2%,"Array, Hash Table, Graph Theory",more_than_6m
