ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,,100.0%,"Math, String, Simulation",6_months
2050,https://leetcode.com/problems/parallel-courses-iii,Parallel Courses III,Hard,,100.0%,"Array, Dynamic Programming, Graph Theory, Topological Sort",6_months
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,89.6%,"String, Stack",6_months
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,,89.6%,"Array, Math, Binary Search, Prefix Sum, Randomized",6_months
337,https://leetcode.com/problems/house-robber-iii,House Robber III,Medium,,89.6%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",6_months
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,,100.0%,"Array, String, Backtracking, Trie, Matrix",more_than_6m
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,,95.3%,"Math, String, Simulation",more_than_6m
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,,89.5%,"Array, Math, Binary Search, Prefix Sum, Randomized",more_than_6m
547,https://leetcode.com/problems/number-of-provinces,Number of Provinces,Medium,,82.1%,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory",more_than_6m
2050,https://leetcode.com/problems/parallel-courses-iii,Parallel Courses III,Hard,,82.1%,"Array, Dynamic Programming, Graph Theory, Topological Sort",more_than_6m
1186,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,Maximum Subarray Sum with One Deletion,Medium,,82.1%,"Array, Dynamic Programming",more_than_6m
1889,https://leetcode.com/problems/minimum-space-wasted-from-packaging,Minimum Space Wasted From Packaging,Hard,,82.1%,"Array, Binary Search, Sorting, Prefix Sum",more_than_6m
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,,82.1%,"Array, Hash Table, Design, Simulation",more_than_6m
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,,71.6%,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",more_than_6m
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,,71.6%,"Array, Matrix, Simulation",more_than_6m
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,,71.6%,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting",more_than_6m
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,,71.6%,"String, Dynamic Programming, Greedy, Recursion",more_than_6m
342,https://leetcode.com/problems/power-of-four,Power of Four,Easy,,71.6%,"Math, Bit Manipulation, Recursion",more_than_6m
