ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
526,https://leetcode.com/problems/beautiful-arrangement,Beautiful Arrangement,Medium,,100.0%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",30_days
2484,https://leetcode.com/problems/count-palindromic-subsequences,Count Palindromic Subsequences,Hard,,92.7%,"String, Dynamic Programming",30_days
2439,https://leetcode.com/problems/minimize-maximum-of-array,Minimize Maximum of Array,Medium,,82.3%,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",30_days
2964,https://leetcode.com/problems/number-of-divisible-triplet-sums,Number of Divisible Triplet Sums,Medium,,82.3%,"Array, Hash Table",30_days
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,82.3%,"Two Pointers, String, Dynamic Programming",30_days
636,https://leetcode.com/problems/exclusive-time-of-functions,Exclusive Time of Functions,Medium,,82.3%,"Array, Stack",30_days
526,https://leetcode.com/problems/beautiful-arrangement,Beautiful Arrangement,Medium,,100.0%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",3_months
2484,https://leetcode.com/problems/count-palindromic-subsequences,Count Palindromic Subsequences,Hard,,95.3%,"String, Dynamic Programming",3_months
636,https://leetcode.com/problems/exclusive-time-of-functions,Exclusive Time of Functions,Medium,,95.3%,"Array, Stack",3_months
1963,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,Minimum Number of Swaps to Make the String Balanced,Medium,,89.6%,"Two Pointers, String, Stack, Greedy",3_months
2680,https://leetcode.com/problems/maximum-or,Maximum OR,Medium,,82.3%,"Array, Greedy, Bit Manipulation, Prefix Sum",3_months
2964,https://leetcode.com/problems/number-of-divisible-triplet-sums,Number of Divisible Triplet Sums,Medium,,82.3%,"Array, Hash Table",3_months
2439,https://leetcode.com/problems/minimize-maximum-of-array,Minimize Maximum of Array,Medium,,72.0%,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",3_months
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,72.0%,"Two Pointers, String, Dynamic Programming",3_months
2964,https://leetcode.com/problems/number-of-divisible-triplet-sums,Number of Divisible Triplet Sums,Medium,,100.0%,"Array, Hash Table",6_months
526,https://leetcode.com/problems/beautiful-arrangement,Beautiful Arrangement,Medium,,92.4%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",6_months
2484,https://leetcode.com/problems/count-palindromic-subsequences,Count Palindromic Subsequences,Hard,,87.5%,"String, Dynamic Programming",6_months
636,https://leetcode.com/problems/exclusive-time-of-functions,Exclusive Time of Functions,Medium,,87.5%,"Array, Stack",6_months
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,81.6%,"Array, Dynamic Programming",6_months
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,81.6%,"Two Pointers, String, Dynamic Programming",6_months
3649,https://leetcode.com/problems/number-of-perfect-pairs,Number of Perfect Pairs,Medium,,81.6%,"Array, Math, Two Pointers, Sorting",6_months
2491,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,Divide Players Into Teams of Equal Skill,Medium,,81.6%,"Array, Hash Table, Two Pointers, Sorting",6_months
2680,https://leetcode.com/problems/maximum-or,Maximum OR,Medium,,81.6%,"Array, Greedy, Bit Manipulation, Prefix Sum",6_months
1963,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,Minimum Number of Swaps to Make the String Balanced,Medium,,81.6%,"Two Pointers, String, Stack, Greedy",6_months
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,74.0%,"Array, Hash Table",6_months
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,,74.0%,"Array, String, Simulation",6_months
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,,74.0%,"Hash Table, Linked List, Design, Doubly-Linked List",6_months
