ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,,100.0%,"Hash Table, Two Pointers, String, Sliding Window",6_months
849,https://leetcode.com/problems/maximize-distance-to-closest-person,Maximize Distance to Closest Person,Medium,,100.0%,Array,more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,86.9%,"String, Stack",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,81.9%,"Array, Hash Table",more_than_6m
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,75.4%,"Array, Two Pointers",more_than_6m
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,,75.4%,"Two Pointers, String",more_than_6m
228,https://leetcode.com/problems/summary-ranges,Summary Ranges,Easy,,75.4%,Array,more_than_6m
1493,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,Longest Subarray of 1's After Deleting One Element,Medium,,75.4%,"Array, Dynamic Programming, Sliding Window",more_than_6m
165,https://leetcode.com/problems/compare-version-numbers,Compare Version Numbers,Medium,,66.4%,"Two Pointers, String",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,66.4%,"Hash Table, String, Sliding Window",more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,66.4%,"Array, Sorting",more_than_6m
101,https://leetcode.com/problems/symmetric-tree,Symmetric Tree,Easy,,66.4%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",more_than_6m
849,https://leetcode.com/problems/maximize-distance-to-closest-person,Maximize Distance to Closest Person,Medium,,100.0%,Array,all
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,84.6%,"String, Stack",all
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,79.7%,"Array, Two Pointers",all
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,79.7%,"Array, Hash Table",all
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,,73.3%,"Two Pointers, String",all
228,https://leetcode.com/problems/summary-ranges,Summary Ranges,Easy,,73.3%,Array,all
1493,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,Longest Subarray of 1's After Deleting One Element,Medium,,73.3%,"Array, Dynamic Programming, Sliding Window",all
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,64.3%,"Hash Table, String, Sliding Window",all
165,https://leetcode.com/problems/compare-version-numbers,Compare Version Numbers,Medium,,64.3%,"Two Pointers, String",all
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,64.3%,"Array, Sorting",all
101,https://leetcode.com/problems/symmetric-tree,Symmetric Tree,Easy,,64.3%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",all
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,64.3%,"Array, Dynamic Programming",all
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,,64.3%,"Hash Table, Two Pointers, String, Sliding Window",all
