ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1205,https://leetcode.com/problems/monthly-transactions-ii,Monthly Transactions II,Medium,,100.0%,Database,more_than_6m
1193,https://leetcode.com/problems/monthly-transactions-i,Monthly Transactions I,Medium,,100.0%,Database,more_than_6m
781,https://leetcode.com/problems/rabbits-in-forest,Rabbits in Forest,Medium,,100.0%,"Array, Hash Table, Math, Greedy",more_than_6m
1606,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,Find Servers That Handled Most Number of Requests,Hard,,100.0%,"Array, Heap (Priority Queue), Simulation, Ordered Set",more_than_6m
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,100.0%,"Array, Binary Search",more_than_6m
1606,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,Find Servers That Handled Most Number of Requests,Hard,,100.0%,"Array, Heap (Priority Queue), Simulation, Ordered Set",all
781,https://leetcode.com/problems/rabbits-in-forest,Rabbits in Forest,Medium,,100.0%,"Array, Hash Table, Math, Greedy",all
1193,https://leetcode.com/problems/monthly-transactions-i,Monthly Transactions I,Medium,,100.0%,Database,all
1205,https://leetcode.com/problems/monthly-transactions-ii,Monthly Transactions II,Medium,,100.0%,Database,all
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,65.7%,"Array, Binary Search",all
