ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,,100.0%,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",more_than_6m
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,,93.3%,"Hash Table, String, Sliding Window",more_than_6m
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,,84.7%,"Array, Binary Search",more_than_6m
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,84.7%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",more_than_6m
132,https://leetcode.com/problems/palindrome-partitioning-ii,Palindrome Partitioning II,Hard,,84.7%,"String, Dynamic Programming",more_than_6m
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,,84.7%,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting",more_than_6m
546,https://leetcode.com/problems/remove-boxes,Remove Boxes,Hard,,84.7%,"Array, Dynamic Programming, Memoization",more_than_6m
503,https://leetcode.com/problems/next-greater-element-ii,Next Greater Element II,Medium,,72.6%,"Array, Stack, Monotonic Stack",more_than_6m
2896,https://leetcode.com/problems/apply-operations-to-make-two-strings-equal,Apply Operations to Make Two Strings Equal,Medium,,72.6%,"String, Dynamic Programming",more_than_6m
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,,72.6%,"Linked List, Recursion",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,72.6%,"Hash Table, String, Sliding Window",more_than_6m
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,,72.6%,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",more_than_6m
250,https://leetcode.com/problems/count-univalue-subtrees,Count Univalue Subtrees,Medium,,72.6%,"Tree, Depth-First Search, Binary Tree",more_than_6m
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,,72.6%,"Array, Hash Table, Math, Design, Randomized",more_than_6m
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,,72.6%,"String, Stack, Greedy, Monotonic Stack",more_than_6m
475,https://leetcode.com/problems/heaters,Heaters,Medium,,72.6%,"Array, Two Pointers, Binary Search, Sorting",more_than_6m
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,72.6%,"Array, Divide and Conquer, Dynamic Programming",more_than_6m
2115,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,Find All Possible Recipes from Given Supplies,Medium,,72.6%,"Array, Hash Table, String, Graph Theory, Topological Sort",more_than_6m
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,,72.6%,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",more_than_6m
2616,https://leetcode.com/problems/minimize-the-maximum-difference-of-pairs,Minimize the Maximum Difference of Pairs,Medium,,72.6%,"Array, Binary Search, Dynamic Programming, Greedy, Sorting",more_than_6m
968,https://leetcode.com/problems/binary-tree-cameras,Binary Tree Cameras,Hard,,72.6%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",more_than_6m
2381,https://leetcode.com/problems/shifting-letters-ii,Shifting Letters II,Medium,,72.6%,"Array, String, Prefix Sum",more_than_6m
698,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,Partition to K Equal Sum Subsets,Medium,,72.6%,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask",more_than_6m
375,https://leetcode.com/problems/guess-number-higher-or-lower-ii,Guess Number Higher or Lower II,Medium,,72.6%,"Math, Dynamic Programming, Game Theory",more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,72.6%,"Array, Sorting",more_than_6m
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,,72.6%,"Array, Binary Search, Divide and Conquer",more_than_6m
979,https://leetcode.com/problems/distribute-coins-in-binary-tree,Distribute Coins in Binary Tree,Medium,,72.6%,"Tree, Depth-First Search, Binary Tree",more_than_6m
