ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
1344,https://leetcode.com/problems/angle-between-hands-of-a-clock,Angle Between Hands of a Clock,Medium,,100.0%,Math,30_days
1344,https://leetcode.com/problems/angle-between-hands-of-a-clock,Angle Between Hands of a Clock,Medium,,100.0%,Math,3_months
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,100.0%,"Hash Table, String, Sliding Window",6_months
1344,https://leetcode.com/problems/angle-between-hands-of-a-clock,Angle Between Hands of a Clock,Medium,,93.8%,Math,6_months
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,85.9%,"Array, Sorting",6_months
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,85.9%,"String, Stack, Recursion",6_months
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,,74.8%,"Array, Stack, Monotonic Stack",6_months
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,74.8%,"Math, Dynamic Programming, Memoization",6_months
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,74.8%,"Array, Two Pointers, Greedy",6_months
115,https://leetcode.com/problems/distinct-subsequences,Distinct Subsequences,Hard,,74.8%,"String, Dynamic Programming",6_months
1689,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers,Partitioning Into Minimum Number Of Deci-Binary Numbers,Medium,,74.8%,"String, Greedy",6_months
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,74.8%,"Array, Hash Table, String, Sorting",6_months
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,,100.0%,"Array, Matrix, Simulation",more_than_6m
394,https://leetcode.com/problems/decode-string,Decode String,Medium,,92.4%,"String, Stack, Recursion",more_than_6m
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,,88.0%,"String, Stack",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,88.0%,"Array, Dynamic Programming",more_than_6m
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,,85.4%,"Two Pointers, String, Dynamic Programming",more_than_6m
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,,84.0%,"Array, Hash Table",more_than_6m
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,84.0%,"Hash Table, String, Sliding Window",more_than_6m
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,,82.5%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",more_than_6m
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,,82.5%,"Array, Sorting",more_than_6m
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,,81.0%,"Array, Hash Table, String, Sorting",more_than_6m
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,,79.2%,"Math, Dynamic Programming, Memoization",more_than_6m
165,https://leetcode.com/problems/compare-version-numbers,Compare Version Numbers,Medium,,79.2%,"Two Pointers, String",more_than_6m
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,,77.4%,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",more_than_6m
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,,77.4%,"Array, String, Greedy, Sorting",more_than_6m
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,,75.4%,"Array, Math, Matrix",more_than_6m
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,,75.4%,"String, Dynamic Programming, Backtracking",more_than_6m
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,,73.2%,String,more_than_6m
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,,73.2%,"String, Dynamic Programming, Greedy, Recursion",more_than_6m
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,,73.2%,"Array, Stack, Monotonic Stack",more_than_6m
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,,73.2%,"Math, Binary Search",more_than_6m
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,,68.1%,"Array, String, Trie",more_than_6m
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,,68.1%,"String, Dynamic Programming, Recursion",more_than_6m
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,,65.0%,"Hash Table, Math, String",more_than_6m
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,,65.0%,"Array, Two Pointers, Greedy",more_than_6m
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,,65.0%,"String, Dynamic Programming, Stack",more_than_6m
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,,65.0%,"Math, String, Stack",more_than_6m
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,65.0%,"Array, Breadth-First Search, Matrix",more_than_6m
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,,61.5%,"Hash Table, String, Backtracking",more_than_6m
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,,61.5%,"Array, Binary Search",more_than_6m
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,,61.5%,"String, Dynamic Programming",more_than_6m
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,,61.5%,"Array, Two Pointers, Sorting",more_than_6m
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,,61.5%,"Array, Two Pointers",more_than_6m
435,https://leetcode.com/problems/non-overlapping-intervals,Non-overlapping Intervals,Medium,,61.5%,"Array, Dynamic Programming, Greedy, Sorting",more_than_6m
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,,61.5%,"Array, Hash Table, Matrix",more_than_6m
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,,61.5%,"Array, Dynamic Programming, Greedy",more_than_6m
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,,57.3%,"Array, Dynamic Programming, Greedy",more_than_6m
171,https://leetcode.com/problems/excel-sheet-column-number,Excel Sheet Column Number,Easy,,57.3%,"Math, String",more_than_6m
1299,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side,Replace Elements with Greatest Element on Right Side,Easy,,57.3%,Array,more_than_6m
2164,https://leetcode.com/problems/sort-even-and-odd-indices-independently,Sort Even and Odd Indices Independently,Easy,,57.3%,"Array, Sorting",more_than_6m
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,,57.3%,"Array, Prefix Sum",more_than_6m
463,https://leetcode.com/problems/island-perimeter,Island Perimeter,Easy,,57.3%,"Array, Depth-First Search, Breadth-First Search, Matrix",more_than_6m
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,,57.3%,"Array, Binary Search",more_than_6m
15,https://leetcode.com/problems/3sum,3Sum,Medium,,52.2%,"Array, Two Pointers, Sorting",more_than_6m
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,,52.2%,"Array, Math, Two Pointers",more_than_6m
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,,52.2%,"Two Pointers, String, String Matching",more_than_6m
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,,52.2%,"Array, Dynamic Programming",more_than_6m
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,,52.2%,"Array, Divide and Conquer, Dynamic Programming",more_than_6m
16,https://leetcode.com/problems/3sum-closest,3Sum Closest,Medium,,52.2%,"Array, Two Pointers, Sorting",more_than_6m
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,,52.2%,"Hash Table, String",more_than_6m
1275,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,Find Winner on a Tic Tac Toe Game,Easy,,52.2%,"Array, Hash Table, Matrix, Simulation",more_than_6m
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,,52.2%,"Math, String, Simulation",more_than_6m
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,,52.2%,"Linked List, Math, Recursion",more_than_6m
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,,52.2%,"Linked List, Recursion",more_than_6m
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,,52.2%,"Array, Hash Table, Prefix Sum",more_than_6m
174,https://leetcode.com/problems/dungeon-game,Dungeon Game,Hard,,52.2%,"Array, Dynamic Programming, Matrix",more_than_6m
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,,52.2%,"Array, Backtracking",more_than_6m
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,,52.2%,"Array, Greedy",more_than_6m
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,,45.7%,"Array, Binary Search, Divide and Conquer",more_than_6m
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,,45.7%,Math,more_than_6m
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,,45.7%,"Array, Two Pointers",more_than_6m
79,https://leetcode.com/problems/word-search,Word Search,Medium,,45.7%,"Array, String, Backtracking, Depth-First Search, Matrix",more_than_6m
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,,45.7%,"Array, Stack, Simulation",more_than_6m
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,,45.7%,String,more_than_6m
416,https://leetcode.com/problems/partition-equal-subset-sum,Partition Equal Subset Sum,Medium,,45.7%,"Array, Dynamic Programming",more_than_6m
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,,45.7%,"String, Dynamic Programming",more_than_6m
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,,45.7%,"Array, Hash Table, Matrix",more_than_6m
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,,45.7%,"Array, String, Backtracking, Trie, Matrix",more_than_6m
37,https://leetcode.com/problems/sudoku-solver,Sudoku Solver,Hard,,45.7%,"Array, Hash Table, Backtracking, Matrix",more_than_6m
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,,45.7%,"Array, Hash Table, Sorting",more_than_6m
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,,45.7%,"Two Pointers, String",more_than_6m
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,,45.7%,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",more_than_6m
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,,45.7%,"Array, Hash Table, Divide and Conquer, Sorting, Counting",more_than_6m
166,https://leetcode.com/problems/fraction-to-recurring-decimal,Fraction to Recurring Decimal,Medium,,45.7%,"Hash Table, Math, String",more_than_6m
451,https://leetcode.com/problems/sort-characters-by-frequency,Sort Characters By Frequency,Medium,,45.7%,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting",more_than_6m
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,,45.7%,"Two Pointers, String",more_than_6m
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,,45.7%,"Array, Dynamic Programming, Matrix",more_than_6m
859,https://leetcode.com/problems/buddy-strings,Buddy Strings,Easy,,45.7%,"Hash Table, String",more_than_6m
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,,45.7%,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",more_than_6m
1636,https://leetcode.com/problems/sort-array-by-increasing-frequency,Sort Array by Increasing Frequency,Easy,,45.7%,"Array, Hash Table, Sorting",more_than_6m
316,https://leetcode.com/problems/remove-duplicate-letters,Remove Duplicate Letters,Medium,,45.7%,"String, Stack, Greedy, Monotonic Stack",more_than_6m
