ID,URL,Title,Difficulty,Acceptance %,Frequency %,Topics,Timeframe
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,100.0%,"Array, Dynamic Programming",more_than_6m
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,,78.0%,"Math, String, Stack",more_than_6m
1419,https://leetcode.com/problems/minimum-number-of-frogs-croaking,Minimum Number of Frogs Croaking,Medium,,64.1%,"String, Counting",more_than_6m
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,64.1%,"Array, Breadth-First Search, Matrix",more_than_6m
443,https://leetcode.com/problems/string-compression,String Compression,Medium,,64.1%,"Two Pointers, String",more_than_6m
149,https://leetcode.com/problems/max-points-on-a-line,Max Points on a Line,Hard,,64.1%,"Array, Hash Table, Math, Geometry",more_than_6m
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,100.0%,"Array, Dynamic Programming",all
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,,78.0%,"Math, String, Stack",all
1419,https://leetcode.com/problems/minimum-number-of-frogs-croaking,Minimum Number of Frogs Croaking,Medium,,64.1%,"String, Counting",all
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,,64.1%,"Array, Breadth-First Search, Matrix",all
443,https://leetcode.com/problems/string-compression,String Compression,Medium,,64.1%,"Two Pointers, String",all
149,https://leetcode.com/problems/max-points-on-a-line,Max Points on a Line,Hard,,64.1%,"Array, Hash Table, Math, Geometry",all
